# abundance scale factors relative to solar: He=1.0 Li=1.0 Be=1.0 B=1.0 C=1.0 N=1.0 O=1.0 F=1.0 Ne=1.0 Na=1.0 Mg=1.0 Al=1.0 Si=1.0 P=1.0 S=1.0 Cl=1.0 Ar=1.0 K=1.0 Ca=0.0 Sc=1.0 Ti=1.0 V=1.0 Cr=1.0 Mn=1.0 Fe=1.0 Co=1.0 Ni=1.0 Cu=1.0 Zn=1.0
# alt rho v mu
3.574600000000000000e+09	1.975909383210588930e-14	2.809106536484914977e+04	1.268794325839540660e+00
3.628818861411191940e+09	1.771443533707100444e-14	3.040410629536040506e+04	1.266862511360364207e+00
3.683860104328769207e+09	1.590694146261818538e-14	3.285467642677213735e+04	1.264624738678162830e+00
3.739736202480960369e+09	1.430650427832830205e-14	3.544660696615877532e+04	1.262191762977167064e+00
3.796459818795158386e+09	1.288713343170356347e-14	3.818354052272107947e+04	1.259553408253226703e+00
3.854043808267662525e+09	1.162635598517706041e-14	4.106891465943876392e+04	1.256715288359369520e+00
3.912501220876941204e+09	1.050470876187741055e-14	4.410594662109639467e+04	1.253654829763181766e+00
3.971845304541084290e+09	9.505308211243573896e-15	4.729761937275474338e+04	1.250391031978681067e+00
4.032089508120115757e+09	8.613485346122344276e-15	5.064666906709921750e+04	1.246893879267758853e+00
4.093247484463842392e+09	7.816475394857187382e-15	5.415557404169003712e+04	1.243185308868060890e+00
4.155333093505932808e+09	7.103153537373295543e-15	5.782654542829850107e+04	1.239234370397154672e+00
4.218360405404924870e+09	6.463809520037294679e-15	6.166151943660367397e+04	1.235056766832455688e+00
4.282343703732880116e+09	5.889955124214330879e-15	6.566215135393591481e+04	1.230652080214508004e+00
4.347297488712397575e+09	5.374159441940546399e-15	6.982981128189752053e+04	1.225999855404673156e+00
4.413236480502728462e+09	4.909907724794638758e-15	7.416558160996809602e+04	1.221097916066468558e+00
4.480175622535738945e+09	4.491480248112397968e-15	7.867025620601161791e+04	1.215944796235186587e+00
4.548130084902454376e+09	4.113848196026898018e-15	8.334434128432130092e+04	1.210538637495066405e+00
4.617115267791001320e+09	3.772584042989121294e-15	8.818805789380488568e+04	1.204862455851207992e+00
4.687146804976660728e+09	3.463784300463946518e-15	9.320134595242602518e+04	1.198914740628364228e+00
4.758240567364883423e+09	3.184002826576478519e-15	9.838386973933810077e+04	1.192666880070254010e+00
4.830412666588032722e+09	2.930193172442186961e-15	1.037350247434537305e+05	1.186107581405322353e+00
4.903679458656684875e+09	2.699658670681336811e-15	1.092539457566480414e+05	1.179192964693042134e+00
4.978057547666312218e+09	2.490009166567553156e-15	1.149395160914553126e+05	1.171980698198884285e+00
5.053563789560190201e+09	2.299123456486191408e-15	1.207903777970262890e+05	1.164362367014730726e+00
5.130215295949375153e+09	2.125116636928079710e-15	1.268049427432321245e+05	1.155755552008396858e+00
5.208029437990626335e+09	1.966311684303577706e-15	1.329814044410471106e+05	1.147266667341901414e+00
5.287023850323144913e+09	1.821214684907529143e-15	1.393177504676002427e+05	1.138415193655923696e+00
5.367216435065029144e+09	1.688493218289352526e-15	1.458117753663912590e+05	1.129145472264825978e+00
5.448625365870339394e+09	1.566957468493632224e-15	1.524610938969383715e+05	1.119432199325931743e+00
5.531269092047710419e+09	1.455543698145224033e-15	1.592631545133471081e+05	1.109290622082438338e+00
5.615166342741422653e+09	1.353299771838442078e-15	1.662152529577517998e+05	1.098738010773114615e+00
5.700336131175900459e+09	1.259372459157839847e-15	1.733145458620484278e+05	1.087814097771927946e+00
5.786797758964586258e+09	1.172996285085705801e-15	1.805580642595884856e+05	1.076574457602067048e+00
5.874570820484169006e+09	1.093483727526892555e-15	1.879427269173206005e+05	1.065042336786755639e+00
5.963675207315159798e+09	1.020216589035064022e-15	1.954653534080434183e+05	1.053286814970125551e+00
6.054131112749833107e+09	9.526383932545317769e-16	2.031226768517737510e+05	1.041394962044381645e+00
6.145959036368522644e+09	8.902476766869871758e-16	2.109113562645750644e+05	1.029426937902826911e+00
6.239179788685348511e+09	8.325920636493293275e-16	2.188279884623739636e+05	1.017422843847828551e+00
6.333814495864400864e+09	7.792630271268082591e-16	2.268691194761872757e+05	1.005474259580860785e+00
6.429884604507458687e+09	7.298912509997289329e-16	2.350312554436909559e+05	9.936046584080352462e-01
6.527411886514325142e+09	6.841425201326556877e-16	2.433108729500766785e+05	9.819327347989756927e-01
6.626418444016894341e+09	6.417140743171233311e-16	2.517044287986294657e+05	9.704294093730118087e-01
6.726926714388046265e+09	6.023313702690175604e-16	2.602083691983312019e+05	9.591894558086740963e-01
6.828959475326515198e+09	5.657452029838297406e-16	2.688191383620650158e+05	9.482343256586794888e-01
6.932539850018893242e+09	5.317291439037732682e-16	2.775331865146174096e+05	9.375610125859686894e-01
7.037691312379922867e+09	5.000772586837571146e-16	2.863469773146615480e+05	9.272118319340412196e-01
7.144437692372280121e+09	4.706020719723887408e-16	2.952569946992683108e+05	9.171743723577165941e-01
7.252803181407033920e+09	4.431327506469428189e-16	3.042597491632527090e+05	9.075009528664290670e-01
7.362812337826034546e+09	4.175134804408806719e-16	3.133517834888385260e+05	8.982187330726930652e-01
7.474490092467449188e+09	3.936020139503431174e-16	3.225296779437675723e+05	8.891151428463272000e-01
7.587861754315716743e+09	3.712683706633217915e-16	3.317900549681059783e+05	8.801400369254700484e-01
7.702953016237198830e+09	3.503936719743462232e-16	3.411295833716786001e+05	8.714423449793530230e-01
7.819789960802825928e+09	3.308690961737738058e-16	3.505449820652923663e+05	8.646171587830203675e-01
