Configuration	Term	J	Prefix	Level (Ry)	Suffix	Uncertainty (Ry)	Reference
"2s2.2p2.(1D).4s"	"2D"	"3/2"	""	"8.4642"	"?"	"0.0007"	""
"2s2.2p2.(3P).4d"	"2P"	"3/2"	""	"8.5517"	"?"	"0.0007"	""
"2s2.2p2.(3P).4d"	"4D"	"5/2"	""	"8.5573"	""	"0.0008"	""
"2s2.2p2.(3P).4d"	"4D"	"3/2"	""	"8.5573"	""	"0.0008"	""
"2s2.2p2.(3P).4d"	"4D"	"1/2"	""	"8.5646"	""	"0.0005"	""
"2s2.2p2.(3P).4d"	"4P"	"5/2"	""	"8.5725"	""	"0.0008"	""
"2s2.2p2.(3P).4d"	"4P"	"3/2"	""	"8.57439"	""	"0.00018"	""
"2s2.2p2.(3P).4d"	"2F"	"7/2"	""	"8.5856"	"?"	"0.0007"	""
"2s2.2p2.(3P).4d"	"2D"	"3/2"	""	"8.6097"	""	"0.0009"	""
"2s2.2p2.(3P).4d"	"2D"	"5/2"	""	"8.6125"	""	"0.0009"	""
"2s.2p3.(3D*).3p"	"2F"	"7/2"	""	"8.6592"	""	"0.0003"	""
"2s.2p3.(3D*).3p"	"2F"	"5/2"	""	"8.6641"	"?"	"0.0005"	""
"2s2.2p2.(1D).4d"	"2F"	"7/2"	""	"8.8769"	"?"	"0.0008"	""
"2s2.2p2.(1D).4d"	"2F"	"5/2"	""	"8.8769"	"?"	"0.0008"	""
"2s2.2p2.(1D).4d?"	"2D?"	"3/2"	""	"8.8831"	""	"0.0005"	""
"2s2.2p2.(1D).4d?"	"2D?"	"5/2"	""	"8.8831"	""	"0.0005"	""
"2s.2p3.(3D*).3d"	"4P*"	"5/2"	""	"9.1528"	""	"0.0004"	""
"2s.2p3.(3D*).3d"	"4P*"	"3/2"	""	"9.1548"	""	"0.0004"	""
"2s.2p3.(3D*).3d"	"4P*"	"1/2"	""	"9.1563"	""	"0.0005"	""
"2s.2p3.(3D*).3d"	"4D*"	"1/2"	""	"9.1875"	""	"0.0004"	""
