Configuration	Term	J	Level (Ry)	Uncertainty (Ry)	Leading percentages	Reference
"9d"	"2D"	"3/2"	"[0.98712751892]"	"0.00000000021"	" 100                    "	"L15291"
"9d"	"2D"	"5/2"	"[0.98712753112]"	"0.00000000021"	" 100                    "	"L15291"
	term		"0.98712752624"			
"9"	""	""	" 0.987127529"	"0.000000006"	"                        "	"L15291"
	term		"0.987127529"			
"10p"	"2P*"	"1/2"	"[0.9894719024]"	"0.0000000004"	" 100                    "	"L15291"
"10p"	"2P*"	"3/2"	"[0.9894719291]"	"0.0000000004"	" 100                    "	"L15291"
	term		"0.9894719202"			
"10s"	"2S"	"1/2"	"[0.9894719050]"	"0.0000000004"	" 100                    "	"L15291"
	term		"0.9894719050"			
"10d"	"2D"	"3/2"	"[0.989471928948]"	"0.000000000012"	" 100                    "	"L15291"
"10d"	"2D"	"5/2"	" 0.989471937841"	"0.000000000012"	" 100                    "	"L15291"
	term		"0.989471934284"			
"10"	""	""	" 0.989471939"	"0.000000007"	"                        "	"L15291"
	term		"0.989471939"			
"11p"	"2P*"	"1/2"	"[0.9912065069]"	"0.0000000004"	" 100                    "	"L15291"
"11p"	"2P*"	"3/2"	"[0.9912065269]"	"0.0000000004"	" 100                    "	"L15291"
	term		"0.9912065202"			
"11s"	"2S"	"1/2"	"[0.9912065089]"	"0.0000000004"	" 100                    "	"L15291"
	term		"0.9912065089"			
"11d"	"2D"	"3/2"	"[0.99120652679]"	"0.00000000021"	" 100                    "	"L15291"
"11d"	"2D"	"5/2"	"[0.99120653348]"	"0.00000000021"	" 100                    "	"L15291"
	term		"0.99120653080"			
"11"	""	""	" 0.991206536"	"0.000000005"	"                        "	"L15291"
	term		"0.991206536"			
"12p"	"2P*"	"1/2"	"[0.9925258152]"	"0.0000000004"	" 100                    "	"L15291"
"12p"	"2P*"	"3/2"	"[0.9925258306]"	"0.0000000004"	" 100                    "	"L15291"
	term		"0.9925258255"			
"12s"	"2S"	"1/2"	"[0.9925258166]"	"0.0000000004"	" 100                    "	"L15291"
	term		"0.9925258166"			
"12d"	"2D"	"3/2"	" 0.992525830454"	"0.000000000003"	" 100                    "	"L15291"
"12d"	"2D"	"5/2"	" 0.992525835600"	"0.000000000003"	" 100                    "	"L15291"
	term		"0.992525833542"			
"12"	""	""	" 0.992525835"	"0.000000005"	"                        "	"L15291"
	term		"0.992525835"			
"13"	""	""	"[0.993552563]"	"0.000000008"	"                        "	"L15291"
	term		"0.993552563"			
"14"	""	""	"[0.994367240]"	"0.000000008"	"                        "	"L15291"
	term		"0.994367240"			
"15"	""	""	"[0.995024479]"	"0.000000008"	"                        "	"L15291"
	term		"0.995024479"			
"16"	""	""	"[0.995562381]"	"0.000000009"	"                        "	"L15291"
	term		"0.995562381"			
"17"	""	""	"[0.996008181]"	"0.000000009"	"                        "	"L15291"
	term		"0.996008181"			
"18"	""	""	"[0.996381766]"	"0.000000009"	"                        "	"L15291"
	term		"0.996381766"			
"19"	""	""	"[0.996697931]"	"0.000000009"	"                        "	"L15291"
	term		"0.996697931"			
"20"	""	""	"[0.996967867]"	"0.000000009"	"                        "	"L15291"
	term		"0.996967867"			
"21"	""	""	"[0.997200168]"	"0.000000009"	"                        "	"L15291"
	term		"0.997200168"			
"22"	""	""	"[0.997401516]"	"0.000000009"	"                        "	"L15291"
	term		"0.997401516"			
"23"	""	""	"[0.997577177]"	"0.000000009"	"                        "	"L15291"
	term		"0.997577177"			
"24"	""	""	"[0.997731342]"	"0.000000009"	"                        "	"L15291"
	term		"0.997731342"			
"25"	""	""	"[0.997867378]"	"0.000000009"	"                        "	"L15291"
	term		"0.997867378"			
"26"	""	""	"[0.997988023]"	"0.000000009"	"                        "	"L15291"
	term		"0.997988023"			
"27"	""	""	"[0.998095512]"	"0.000000009"	"                        "	"L15291"
	term		"0.998095512"			
"28"	""	""	"[0.998191692]"	"0.000000009"	"                        "	"L15291"
	term		"0.998191692"			
"29"	""	""	"[0.998278095]"	"0.000000009"	"                        "	"L15291"
	term		"0.998278095"			
"30"	""	""	"[0.998356002]"	"0.000000009"	"                        "	"L15291"
	term		"0.998356002"			
"31"	""	""	"[0.998426492]"	"0.000000009"	"                        "	"L15291"
	term		"0.998426492"			
"32"	""	""	"[0.998490477]"	"0.000000009"	"                        "	"L15291"
	term		"0.998490477"			
"33"	""	""	"[0.998548734]"	"0.000000009"	"                        "	"L15291"
	term		"0.998548734"			
