Configuration	Term	J	Prefix	Level (Ry)	Suffix	Uncertainty (Ry)	Reference
"1s2.2s"	"2S"	"1/2"	""	"0.00000"	""	""	"L6335"
"1s2.2p"	"2P*"	"1/2"	""	"1.0230"	""	""	""
"1s2.2p"	"2P*"	"3/2"	""	"1.03188"	""	""	""
"1s2.3s"	"2S"	"1/2"	""	"7.78788"	""	""	""
"1s2.3p"	"2P*"	"1/2"	""	"8.06588"	""	""	""
"1s2.3p"	"2P*"	"3/2"	""	"8.06849"	""	""	""
"1s2.3d"	"2D"	"3/2"	""	"8.16148"	""	""	""
"1s2.3d"	"2D"	"5/2"	""	"8.16227"	""	""	""
"1s2.4s"	"2S"	"1/2"	""	"10.39238"	""	""	""
"1s2.4p"	"2P*"	"1/2"	""	"10.50593"	""	""	""
"1s2.4p"	"2P*"	"3/2"	""	"10.5070"	""	""	""
"1s2.4d"	"2D"	"3/2"	""	"10.54563"	""	""	""
"1s2.4d"	"2D"	"5/2"	""	"10.54596"	""	""	""
"1s2.4f"	"2F*"	"5/2"	""	"10.54813"	""	""	""
"1s2.4f"	"2F*"	"7/2"	""	"10.54813"	""	""	""
"1s2.5s"	"2S"	"1/2"	""	"11.57201"	""	""	""
"1s2.5p"	"2P*"	"1/2"	""	"11.62915"	""	""	""
"1s2.5p"	"2P*"	"3/2"	""	"11.62974"	""	""	""
"1s2.5d"	"2D"	"3/2"	""	"11.64936"	""	""	""
"1s2.5d"	"2D"	"5/2"	""	"11.64953"	""	""	""
"1s2.5f"	"2F*"	"7/2"	""	"11.65070"	""	""	""
"1s2.5f"	"2F*"	"5/2"	""	"11.65070"	""	""	""
"1s2.5g"	"2G"	"9/2"	""	"11.65089"	""	""	""
"1s2.5g"	"2G"	"7/2"	""	"11.65089"	""	""	""
"1s2.6s"	"2S"	"1/2"	""	"12.20450"	""	""	""
"1s2.6p"	"2P*"	"1/2"	""	"12.23746"	""	""	""
"1s2.6p"	"2P*"	"3/2"	""	"12.23746"	""	""	""
"1s2.6d"	"2D"	"3/2"	""	"12.24888"	""	""	""
"1s2.6d"	"2D"	"5/2"	""	"12.2490"	""	""	""
"1s2.6f"	"2F*"	"5/2"	""	"12.24968"	""	""	""
"1s2.6f"	"2F*"	"7/2"	""	"12.24968"	""	""	""
"1s2.6g"	"2G"	"7/2"	""	"12.24979"	""	""	""
"1s2.6g"	"2G"	"9/2"	""	"12.24979"	""	""	""
"1s2.7s"	"2S"	"1/2"	""	"12.58255"	""	""	""
"1s2.7p"	"2P*"	"1/2"	""	"12.60153"	""	""	""
"1s2.7p"	"2P*"	"3/2"	""	"12.60153"	""	""	""
"1s2.7g"	"2G"	"7/2"	""	"12.6016"	""	""	""
"1s2.7g"	"2G"	"9/2"	""	"12.6016"	""	""	""
"1s2.7d"	"2D"	"3/2"	""	"12.61038"	""	""	""
"1s2.7d"	"2D"	"5/2"	""	"12.61038"	""	""	""
"1s2.7f"	"2F*"	"5/2"	""	"12.61085"	""	""	""
"1s2.7f"	"2F*"	"7/2"	""	"12.61085"	""	""	""
"1s2.8p"	"2P*"	"3/2"	""	"12.83837"	""	""	""
"1s2.8p"	"2P*"	"1/2"	""	"12.83837"	""	""	""
"1s2.8d"	"2D"	"5/2"	""	"12.84494"	""	""	""
"1s2.8d"	"2D"	"3/2"	""	"12.84494"	""	""	""
"1s2.8g"	"2G"	"9/2"	""	"12.8453"	""	""	""
"1s2.8g"	"2G"	"7/2"	""	"12.8453"	""	""	""
"1s2.9p"	"2P*"	"3/2"	""	"12.9959"	""	""	""
"1s2.9p"	"2P*"	"1/2"	""	"12.9959"	""	""	""
"1s2.9d"	"2D"	"5/2"	""	"13.0058"	""	""	""
"1s2.9d"	"2D"	"3/2"	""	"13.0058"	""	""	""
"1s2.10p"	"2P*"	"1/2"	""	"13.1216"	""	""	""
"1s2.10p"	"2P*"	"3/2"	""	"13.1216"	""	""	""
"1s2.10d"	"2D"	"3/2"	""	"13.1292"	""	""	""
"1s2.10d"	"2D"	"5/2"	""	"13.1292"	""	""	""
