Configuration	Term	J	Level (Ry)	Uncertainty (Ry)	Reference
"1s2.2s.6g"	"3G"	"4"	" 3.268644"	""	""
"1s2.2s.6g"	"3G"	"5"	" 3.268646"	""	""
"1s2.2s.6d"	"1D"	"2"	" 3.2690150"	""	""
"1s2.2s.6h"	"1H*"	"5"	" 3.269410"	""	""
"1s2.2s.6h"	"3H*"	"4"	" 3.269410"	""	""
"1s2.2s.6h"	"3H*"	"5"	" 3.269410"	""	""
"1s2.2s.6h"	"3H*"	"6"	" 3.269410"	""	""
"1s2.2s.6f"	"3F*"	"2"	" 3.2700820"	""	""
"1s2.2s.6f"	"3F*"	"3"	" 3.2700847"	""	""
"1s2.2s.6f"	"3F*"	"4"	" 3.2700886"	""	""
"1s2.2s.6f"	"1F*"	"3"	" 3.2725600"	""	""
"1s2.2s.7s"	"3S"	"1"	" 3.31349"	""	""
"1s2.2s.7p"	"1P*"	"1"	" 3.32518"	""	""
"1s2.2s.7d"	"3D"	"1"	" 3.33194"	""	""
"1s2.2s.7d"	"3D"	"2"	" 3.33194"	""	""
"1s2.2s.7d"	"3D"	"3"	" 3.33194"	""	""
"1s2.2s.7g"	"3G"	"3"	" 3.335223"	""	""
"1s2.2s.7g"	"3G"	"4"	" 3.335223"	""	""
"1s2.2s.7g"	"3G"	"5"	" 3.335223"	""	""
"1s2.2s.7d"	"1D"	"2"	" 3.33549"	""	""
"1s2.2s.7f"	"3F*"	"2"	" 3.335866"	""	""
"1s2.2s.7f"	"3F*"	"3"	" 3.335866"	""	""
"1s2.2s.7f"	"3F*"	"4"	" 3.335866"	""	""
"1s2.2s.8p"	"1P*"	"1"	" 3.37101"	""	""
"1s2.2s.8d"	"3D"	"1"	" 3.37624"	""	""
"1s2.2s.8d"	"3D"	"2"	" 3.37624"	""	""
"1s2.2s.8d"	"3D"	"3"	" 3.37624"	""	""
"1s2.2s.9d"	"3D"	"1"	" 3.40657"	""	""
"1s2.2s.9d"	"3D"	"2"	" 3.40657"	""	""
"1s2.2s.9d"	"3D"	"3"	" 3.40657"	""	""
"1s2.2p.(2P*).4s"	"3P*"	"0"	" 3.428898"	""	""
"1s2.2p.(2P*).4s"	"3P*"	"1"	" 3.429091"	""	""
"1s2.2p.(2P*).4s"	"3P*"	"2"	" 3.430042"	""	""
"1s2.2p.(2P*).4p"	"1P"	"1"	" 3.472888"	""	""
"1s2.2p.(2P*).4p"	"3D"	"1"	" 3.4806"	""	""
"1s2.2p.(2P*).4p"	"3D"	"2"	" 3.48078"	""	""
"1s2.2p.(2P*).4p"	"3D"	"3"	" 3.4811"	""	""
"1s2.2p.(2P*).4p"	"3P"	"0"	" 3.50241"	""	""
"1s2.2p.(2P*).4p"	"3P"	"1"	" 3.50259"	""	""
"1s2.2p.(2P*).4p"	"3P"	"2"	" 3.502960"	""	""
"1s2.2p.(2P*).4p"	"1D"	"2"	" 3.514193"	""	""
"1s2.2p.(2P*).4d"	"1D*"	"2"	" 3.515825"	""	""
