configuration	term	J	energy
3d4.(3P2).4p	4P*	3/2	1.9777401
3d4.(3F2).4p	4F*	3/2	1.9816977
3d4.(3P2).4p	*	1/2	1.9829874
3d4.(3H).4p	4G*	5/2	1.9851523
3d4.(3P2).4p	4P*	5/2	1.9867791
3d4.(3H).4p	4G*	7/2	1.9880181
3d4.(3F2).4p	*	5/2	1.9883452
3d4.(3H).4p	4G*	9/2	1.9887356
3d4.(3H).4p	4G*	11/2	1.9899805
3d4.(3F2).4p	4F*	7/2	1.9909213
3d4.(3F2).4p	4F*	9/2	1.9920392
3d4.(3P2).4p	*	3/2	1.9921563
3d4.(3F2).4p	2D*	5/2	1.9945012
3d4.(3F2).4p	*	3/2	1.9965102
3d4.(3P2).4p	2P*	1/2	1.9987176
3d4.(3H).4p	2I*	11/2	2.0008186
3d4.(3F2).4p	4D*	5/2	2.001059
3d4.(3H).4p	2I*	13/2	2.0015139
3d4.(3F2).4p	4D*	7/2	2.0020585
3d4.(3F2).4p	4D*	3/2	2.0032075
3d4.(3F2).4p	4D*	1/2	2.0053282
3d4.(3G).4p	2F*	5/2	2.006585
3d4.(3P2).4p	2P*	3/2	2.0080721
3d4.(3H).4p	2H*	9/2	2.0089915
3d4.(3G).4p	2F*	7/2	2.0107036
3d4.(3G).4p	4H*	7/2	2.010784
3d4.(3G).4p	4H*	9/2	2.0148494
3d4.(3H).4p	2H*	11/2	2.0153675
3d4.(3G).4p	4F*	3/2	2.0158985
3d4.(3G).4p	4F*	9/2	2.01608
3d4.(3G).4p	4F*	5/2	2.0168212
3d4.(3G).4p	4F*	7/2	2.0170537
3d4.(3G).4p	4H*	11/2	2.0198005
3d4.(3P2).4p	2D*	3/2	2.0231959
3d4.(3G).4p	4H*	13/2	2.0244252
3d4.(1D1).4s	2D	5/2	2.0306728
3d4.(1D1).4s	2D	3/2	2.0307739
3d4.(3P2).4p	2D*	5/2	2.0310341
3d4.(3F2).4p	2G*	7/2	2.035758
3d4.(3F2).4p	2F*	5/2	2.0364901
3d4.(3G).4p	2H*	11/2	2.0371388
3d4.(3G).4p	*	9/2	2.0378628
3d4.(3G).4p	2H*	9/2	2.0389219
3d4.(3G).4p	4G*	5/2	2.041657
3d4.(3F2).4p	2F*	7/2	2.0416576
3d4.(3G).4p	4G*	7/2	2.0433396
3d4.(3G).4p	4G*	9/2	2.046491
3d4.(3G).4p	4G*	11/2	2.049174
3d4.(3D).4p	4D*	1/2	2.0672269
3d4.(3D).4p	4D*	3/2	2.0675929
3d4.(3D).4p	4D*	5/2	2.0684266
3d4.(3D).4p	4D*	7/2	2.0709346
3d4.(3G).4p	2G*	7/2	2.0740869
3d4.(3G).4p	2G*	9/2	2.0745928
3d4.(3D).4p	4P*	5/2	2.0769512
3d4.(1G2).4p	2F*	7/2	2.0794537
3d4.(1I).4p	2I*	13/2	2.0795509
3d4.(1I).4p	2I*	11/2	2.0805596
3d4.(3D).4p	4P*	3/2	2.0830623
3d4.(1G2).4p	2H*	9/2	2.0849231
3d4.(3D).4p	4F*	3/2	2.0855496
3d4.(1S2).4p	2P*	1/2	2.0863148
3d4.(3D).4p	4P*	1/2	2.0871389
3d4.(3D).4p	4F*	5/2	2.0873718
3d4.(1G2).4p	2F*	5/2	2.0880673
3d4.(3D).4p	4F*	7/2	2.0894262
3d4.(1G2).4p	2H*	11/2	2.0895956
3d4.(3D).4p	2P*	3/2	2.0907101
3d4.(1I).4p	2K*	13/2	2.0911103
3d4.(3D).4p	4F*	9/2	2.0913099
3d4.(1I).4p	2K*	15/2	2.0976914
3d4.(1G2).4p	2G*	7/2	2.1093401
3d4.(1G2).4p	2G*	9/2	2.1123535
3d4.(1I).4p	2H*	11/2	2.1257385
3d4.(3D).4p	2F*	7/2	2.1303679
3d4.(1S2).4p	2P*	3/2	2.1304213
3d4.(1I).4p	2H*	9/2	2.1305617
3d4.(3D).4p	2P*	1/2	2.1317008
3d4.(3D).4p	2F*	5/2	2.1333374
3d4.(3D).4p	2D*	5/2	2.1366661
3d4.(3D).4p	2D*	3/2	2.141335
3d4.(1D2).4p	2D*	3/2	2.1589629
3d4.(1D2).4p	2D*	5/2	2.1622826
3d4.(1D2).4p	2F*	5/2	2.1734889
3d4.(1D2).4p	2F*	7/2	2.1785789
3d4.(1D2).4p	2P*	3/2	2.2076287
3d4.(1F).4p	2F*	5/2	2.2108669
3d4.(1F).4p	2F*	7/2	2.2140656
3d4.(1F).4p	2G*	7/2	2.2304104
3d4.(1F).4p	2G*	9/2	2.2393685
3d4.(1F).4p	2D*	5/2	2.2507458
3d4.(1F).4p	2D*	3/2	2.2606528
3d4.(3F1).4p	4F*	5/2	2.2799452
3d4.(3F1).4p	4F*	3/2	2.2804402
3d4.(3F1).4p	4F*	7/2	2.2807106
3d4.(3F1).4p	4F*	9/2	2.2827448
3d4.(3P1).4p	4P*	3/2	2.2862875
3d4.(3P1).4p	*	5/2	2.2874081
3d4.(3P1).4p	4P*	1/2	2.2887104
3d4.(3P1).4p	4D*	7/2	2.2932795
3d4.(3P1).4p	*	3/2	2.2958829
3d4.(3P1).4p	4P*	5/2	2.2960188
3d4.(3P1).4p	4D*	1/2	2.296249
3d4.(3F1).4p	4G*	5/2	2.3044529
3d4.(3F1).4p	4G*	7/2	2.3078236
3d4.(3P1).4p	2D*	5/2	2.3107513
3d4.(3F1).4p	4G*	9/2	2.3130457
3d4.(3P1).4p	2D*	3/2	2.3134194
3d4.(3F1).4p	2F*	7/2	2.313922
3d4.(3F1).4p	4G*	11/2	2.3161204
3d4.(3F1).4p	2F*	5/2	2.3161595
3d4.(3P1).4p	4S*	3/2	2.3465424
3d4.(3F1).4p	2G*	9/2	2.3562269
3d4.(3F1).4p	4D*	7/2	2.356463
3d4.(3F1).4p	4D*	5/2	2.3600599
3d4.(3P1).4p	2P*	3/2	2.3602863
3d4.(3F1).4p	2G*	7/2	2.3605436
3d4.(3F1).4p	4D*	3/2	2.3618568
3d4.(3F1).4p	4D*	1/2	2.3624994
3d4.(3P1).4p	2P*	1/2	2.365482
3d4.(3P2).4p	2S*	1/2	2.3906942
3d4.(1G1).4p	2H*	9/2	2.3926024
3d4.(1G1).4p	2G*	7/2	2.3965869
3d4.(1G1).4p	2G*	9/2	2.4046233
3d4.(1G1).4p	2H*	11/2	2.4058502
3d4.(1G1).4p	2F*	7/2	2.4156302
3d4.(1G1).4p	2F*	5/2	2.4182246
3d4.(3F1).4p	2D*	5/2	2.4256206
3d4.(3F1).4p	2D*	3/2	2.4270253
3d4.(1D1).4p	2P*	3/2	2.5584585
3d4.(1D1).4p	2P*	1/2	2.5647274
3d4.(1D1).4p	2F*	5/2	2.597592
3d4.(1D1).4p	2F*	7/2	2.6069958
3d4.(1D1).4p	2D*	3/2	2.6372134
3d4.(1D1).4p	2D*	5/2	2.641023
