Configuration	Term	J	Level (Ry)	Uncertainty (Ry)	Leading percentages	Reference
"2s2.2p4.(3P).4s"	"4P"	"5/2"	" 2.569757258"	"0.000000018"	"  90                            :    10  2s2.2p4.(3P).3d    4P    "	"L9088"
"2s2.2p4.(3P).4s"	"4P"	"3/2"	" 2.573193113"	"0.000000018"	"  91                            :     5  2s2.2p4.(3P).4s    2P    "	"L9088"
"2s2.2p4.(3P).4s"	"4P"	"1/2"	" 2.575975425"	"0.000000018"	"  97                                                              "	"L9088"
"2s2.2p4.(3P).4s"	"2P"	"3/2"	" 2.581823058"	"0.000000018"	"  93                            :     5  2s2.2p4.(3P).4s    4P    "	"L9088"
"2s2.2p4.(3P).4s"	"2P"	"1/2"	" 2.587036094"	"0.000000018"	"  98                                                              "	"L9088"
"2s2.2p4.(3P).4p"	"4P*"	"5/2"	" 2.646063693"	"0.000000018"	"  95                            :     5  2s2.2p4.(3P).4p    4D*   "	"L9088"
"2s2.2p4.(3P).4p"	"4P*"	"3/2"	" 2.647988503"	"0.000000018"	"  94                                                              "	"L9088"
"2s2.2p4.(3P).4p"	"4P*"	"1/2"	" 2.649999201"	"0.000000018"	"  97                                                              "	"L9088"
"2s2.2p4.(3P).4p"	"4D*"	"7/2"	" 2.653627964"	"0.00000003"	" 100                                                              "	"L9088"
"2s2.2p4.(3P).4p"	"4D*"	"5/2"	" 2.656298049"	"0.000000018"	"  80                            :    17  2s2.2p4.(3P).4p    2D*   "	"L9088"
"2s2.2p4.(3P).4p"	"4D*"	"3/2"	" 2.65909418"	"0.00000003"	"  91                            :     5  2s2.2p4.(3P).4p    2D*   "	"L9088"
"2s2.2p4.(3P).4p"	"4D*"	"1/2"	" 2.66060924"	"0.00000003"	"  98                                                              "	"L9088"
"2s2.2p4.(3P).4p"	"2D*"	"5/2"	" 2.661201657"	"0.00000003"	"  83                            :    15  2s2.2p4.(3P).4p    4D*   "	"L9088"
"2s2.2p4.(3P).4p"	"2D*"	"3/2"	" 2.665016520"	"0.000000018"	"  93                            :     6  2s2.2p4.(3P).4p    4D*   "	"L9088"
"2s2.2p4.(3P).4p"	"2S*"	"1/2"	" 2.66588157"	"0.00000003"	"  95                                                              "	"L9088"
"2s2.2p4.(3P).4p"	"4S*"	"3/2"	" 2.66683485"	"0.00000005"	"  96                                                              "	"L9088"
