Configuration	Term	J	Level (Ry)	Uncertainty (Ry)	Leading percentages	Reference
"3s2.3p3"	"4S*"	"3/2"	" 0.0000000"	""	"                                           "	"L7147"
"3s2.3p3"	"2D*"	"3/2"	" 0.1035292"	""	"                                           "	""
"3s2.3p3"	"2D*"	"5/2"	" 0.1036715"	""	"                                           "	""
"3s2.3p3"	"2P*"	"1/2"	" 0.1706139"	""	"                                           "	""
"3s2.3p3"	"2P*"	"3/2"	" 0.1708444"	""	"                                           "	""
"3s2.3p2.(3P).4s"	"4P"	"1/2"	" 0.50975751"	""	"  98         :     1  3s.3p4          4P   "	""
"3s2.3p2.(3P).4s"	"4P"	"3/2"	" 0.51113539"	""	"  98         :     1  3s.3p4          4P   "	""
"3s2.3p2.(3P).4s"	"4P"	"5/2"	" 0.51340472"	""	"  98         :     1  3s.3p4          4P   "	""
"3s2.3p2.(3P).4s"	"2P"	"1/2"	" 0.52741015"	""	"  98         :     1  3s2.3p2.(3P).3d 2P   "	""
"3s2.3p2.(3P).4s"	"2P"	"3/2"	" 0.53012383"	""	"  98         :     1  3s2.3p2.(3P).3d 2P   "	""
"3s.3p4"	"4P"	"5/2"	" 0.54251873"	""	"  70         :    14  3s2.3p2.(3P).3d 4P   "	""
"3s.3p4"	"4P"	"3/2"	" 0.54417151"	""	"  70         :    14  3s2.3p2.(3P).3d 4P   "	""
"3s.3p4"	"4P"	"1/2"	" 0.54512333"	""	"  70         :    14  3s2.3p2.(3P).3d 4P   "	""
"3s2.3p2.(3P).4p"	"2S*"	"1/2"	" 0.58539423"	""	"                                           "	""
"3s2.3p2.(1D).4s"	"2D"	"3/2"	" 0.59374736"	""	"  98         :     1  3s2.3p2.(1D).3d 2D   "	""
"3s2.3p2.(1D).4s"	"2D"	"5/2"	" 0.59375542"	""	"  98         :     1  3s2.3p2.(1D).3d 2D   "	""
"3s2.3p2.(3P).4p"	"4D*"	"1/2"	" 0.59572768"	""	"                                           "	""
"3s2.3p2.(3P).4p"	"4D*"	"3/2"	" 0.59642542"	""	"                                           "	""
"3s2.3p2.(3P).4p"	"4D*"	"5/2"	" 0.59765568"	""	"                                           "	""
"3s2.3p2.(3P).4p"	"4D*"	"7/2"	" 0.59950851"	""	"                                           "	""
"3s2.3p2.(3P).4p"	"4P*"	"1/2"	" 0.60456589"	""	"                                           "	""
"3s2.3p2.(3P).4p"	"4P*"	"3/2"	" 0.60471938"	""	"                                           "	""
"3s2.3p2.(3P).4p"	"4P*"	"5/2"	" 0.60639576"	""	"                                           "	""
"3s2.3p2.(3P).4p"	"2D*"	"3/2"	" 0.60884732"	""	"                                           "	""
"3s2.3p2.(3P).4p"	"4S*"	"3/2"	" 0.60904213"	""	"                                           "	""
"3s2.3p2.(3P).4p"	"2D*"	"5/2"	" 0.61158658"	""	"                                           "	""
