Configuration	Term	J	Level (Ry)	Uncertainty (Ry)	Lande	Leading percentages	Reference
"3d8.(3F).4s.4p.(3P*)"	"1G*"	"4"	" 0.30609579"	""	""	"  75             :    13  3d8.(3F).4s.4p.(3P*) 3G*     "	""
"3d8.(3F).4s.4p.(3P*)"	"3D*"	"2"	" 0.30628497"	""	"1.19"	"  34             :    32  3d8.(3F).4s.4p.(3P*) 3F*     "	""
"3d8.(3F).4s.4p.(3P*)"	"3F*"	"2"	" 0.31131857"	""	"0.973"	"  53             :    29  3d8.(3F).4s.4p.(3P*) 3D*     "	""
"3d8.(3F).4s.4p.(3P*)"	"3D*"	"1"	" 0.31355382"	""	"0.511"	"  66             :    27  3d9.(2D).4p          3D*     "	""
"3d8.(3F).4s.4p.(3P*)"	"1F*"	"3"	" 0.32476758"	""	"1.013"	"  83             :     9  3d8.(3F).4s.4p.(3P*) 3F*     "	""
"3d8.(3F).4s.4p.(3P*)"	"1D*"	"2"	" 0.33353095"	""	"1.013"	"  82             :     9  3d9.(2D).4p          1D*     "	""
"3d8.(3P).4s.4p.(3P*)"	"5P*"	"3"	" 0.36779876"	""	""	"  87             :    10  3d8.(1D).4s.4p.(3P*) 3D*     "	""
"3d8.(3P).4s.4p.(3P*)"	"5P*"	"2"	" 0.36891928"	""	""	"  89                                                   "	""
"3d8.(3P).4s.4p.(3P*)"	"5P*"	"1"	" 0.37151443"	""	""	"  94                                                   "	""
"3d8.(1D).4s.4p.(3P*)"	"3F*"	"4"	" 0.38806501"	""	"1.346"	"  53             :    40  3d8.(3P).4s.4p.(3P*) 5D*     "	""
