Configuration	Term	J	Level (Ry)	Uncertainty (Ry)	Leading percentages	Reference
"8f"	"2F*"	"5/2"	"(8.85961337311)"	"0.00000000008"	" 100                    "	"L3620c107"
"8f"	"2F*"	"7/2"	"(8.85961407675)"	"0.00000000008"	" 100                    "	"L3620c107"
	term		"8.859613775"			
"8g"	"2G"	"7/2"	"(8.85961407542)"	"0.00000000003"	" 100                    "	"L3620c107"
"8g"	"2G"	"9/2"	"(8.85961449760)"	"0.00000000003"	" 100                    "	"L3620c107"
	term		"8.859614310"			
"8h"	"2H*"	"9/2"	"(8.859614496767)"	"0.000000000020"	" 100                    "	"L3620c107"
"8h"	"2H*"	"11/2"	"(8.859614778212)"	"0.000000000020"	" 100                    "	"L3620c107"
	term		"8.859614650"			
"8i"	"2I"	"11/2"	"(8.859614777650)"	"0.000000000018"	" 100                    "	"L3620c107"
"8i"	"2I"	"13/2"	"(8.859614978686)"	"0.000000000018"	" 100                    "	"L3620c107"
	term		"8.859614886"			
"8k"	"2K*"	"13/2"	"(8.859614978275)"	"0.000000000018"	" 100                    "	"L3620c107"
"8k"	"2K*"	"15/2"	"(8.859615129051)"	"0.000000000018"	" 100                    "	"L3620c107"
	term		"8.859615059"			
"9p"	"2P*"	"1/2"	"(8.88912154605)"	"0.00000000006"	" 100                    "	"L3620c107"
"9p"	"2P*"	"3/2"	"(8.88912451182)"	"0.00000000006"	" 100                    "	"L3620c107"
	term		"8.889123523"			
"9s"	"2S"	"1/2"	"(8.88912175766)"	"0.00000000004"	" 100                    "	"L3620c107"
	term		"8.889121758"			
"9d"	"2D"	"3/2"	"(8.88912450672)"	"0.00000000007"	" 100                    "	"L3620c107"
"9d"	"2D"	"5/2"	"(8.88912549515)"	"0.00000000007"	" 100                    "	"L3620c107"
	term		"8.889125100"			
"9f"	"2F*"	"5/2"	"(8.88912549334)"	"0.00000000006"	" 100                    "	"L3620c107"
"9f"	"2F*"	"7/2"	"(8.88912598753)"	"0.00000000006"	" 100                    "	"L3620c107"
	term		"8.889125776"			
"9g"	"2G"	"7/2"	"(8.88912598659)"	"0.00000000003"	" 100                    "	"L3620c107"
"9g"	"2G"	"9/2"	"(8.88912628310)"	"0.00000000003"	" 100                    "	"L3620c107"
	term		"8.889126151"			
"9h"	"2H*"	"9/2"	"(8.889126282515)"	"0.000000000020"	" 100                    "	"L3620c107"
"9h"	"2H*"	"11/2"	"(8.889126480187)"	"0.000000000020"	" 100                    "	"L3620c107"
	term		"8.889126390"			
"9i"	"2I"	"11/2"	"(8.889126479786)"	"0.000000000018"	" 100                    "	"L3620c107"
"9i"	"2I"	"13/2"	"(8.889126620981)"	"0.000000000018"	" 100                    "	"L3620c107"
	term		"8.889126556"			
"9k"	"2K*"	"13/2"	"(8.889126620692)"	"0.000000000018"	" 100                    "	"L3620c107"
"9k"	"2K*"	"15/2"	"(8.889126726587)"	"0.000000000018"	" 100                    "	"L3620c107"
	term		"8.889126677"			
"9l"	"2L"	"15/2"	"(8.889126726368)"	"0.000000000018"	" 100                    "	"L3620c107"
"9l"	"2L"	"17/2"	"(8.889126808730)"	"0.000000000018"	" 100                    "	"L3620c107"
	term		"8.889126770"			
"10p"	"2P*"	"1/2"	"(8.91023244101)"	"0.00000000005"	" 100                    "	"L3620c107"
"10p"	"2P*"	"3/2"	"(8.91023460305)"	"0.00000000005"	" 100                    "	"L3620c107"
	term		"8.910233882"			
"10s"	"2S"	"1/2"	"(8.91023259531)"	"0.00000000003"	" 100                    "	"L3620c107"
	term		"8.910232595"			
"10d"	"2D"	"3/2"	"(8.91023459932)"	"0.00000000005"	" 100                    "	"L3620c107"
"10d"	"2D"	"5/2"	"(8.91023531989)"	"0.00000000005"	" 100                    "	"L3620c107"
	term		"8.910235032"			
"10f"	"2F*"	"5/2"	"(8.91023531856)"	"0.00000000005"	" 100                    "	"L3620c107"
"10f"	"2F*"	"7/2"	"(8.91023567883)"	"0.00000000005"	" 100                    "	"L3620c107"
	term		"8.910235524"			
"10g"	"2G"	"7/2"	"(8.91023567814)"	"0.00000000003"	" 100                    "	"L3620c107"
"10g"	"2G"	"9/2"	"(8.91023589430)"	"0.00000000003"	" 100                    "	"L3620c107"
	term		"8.910235798"			
"10h"	"2H*"	"9/2"	"(8.910235893869)"	"0.000000000020"	" 100                    "	"L3620c107"
"10h"	"2H*"	"11/2"	"(8.910236037977)"	"0.000000000020"	" 100                    "	"L3620c107"
	term		"8.910235972"			
"10i"	"2I"	"11/2"	"(8.910236037687)"	"0.000000000018"	" 100                    "	"L3620c107"
"10i"	"2I"	"13/2"	"(8.910236140618)"	"0.000000000018"	" 100                    "	"L3620c107"
	term		"8.910236093"			
"10k"	"2K*"	"13/2"	"(8.910236140407)"	"0.000000000018"	" 100                    "	"L3620c107"
"10k"	"2K*"	"15/2"	"(8.910236217605)"	"0.000000000018"	" 100                    "	"L3620c107"
	term		"8.910236182"			
