configuration	term	J	energy
3p6.37s	2S	1/2	0.318208053
3p6.36d	2D	5/2	0.318249267
3p6.36d	2D	3/2	0.318249275
3p6.38s	2S	1/2	0.318253464
3p6.37d	2D	5/2	0.318291361
3p6.37d	2D	3/2	0.318291368
3p6.39s	2S	1/2	0.318295223
3p6.38d	2D	5/2	0.318330149
3p6.38d	2D	3/2	0.318330157
3p6.40s	2S	1/2	0.318333715
3p6.39d	2D	5/2	0.318365973
3p6.39d	2D	3/2	0.318365979
3p6.41s	2S	1/2	0.318369271
3p6.40d	2D	5/2	0.318399125
3p6.40d	2D	3/2	0.318399131
3p6.42s	2S	1/2	0.318402183
3p6.41d	2D	5/2	0.318429865
3p6.41d	2D	3/2	0.318429871
3p6.43s	2S	1/2	0.318432703
3p6.42d	2D	5/2	0.318458424
3p6.42d	2D	3/2	0.318458428
3p6.44s	2S	1/2	0.318461061
3p6.43d	2D	5/2	0.318484996
3p6.43d	2D	3/2	0.318485002
3p6.45s	2S	1/2	0.318487456
3p6.44d	2D	5/2	0.318509769
3p6.44d	2D	3/2	0.318509775
3p6.46s	2S	1/2	0.318512064
3p6.45d	2D	5/2	0.318532899
3p6.45d	2D	3/2	0.318532904
3p6.46d	2D	5/2	0.318554527
3p6.46d	2D	3/2	0.318554533
