Configuration	Term	J	Prefix	Level (Ry)	Suffix	Uncertainty (Ry)	Leading percentages	Reference
"2p6.3s2"	"1S"	"0"	""	"0.000000"	""	""	"  96         :     4  3p2   1S   "	"L7237"
"3s.3p"	"3P*"	"0"	""	"0.756570"	""	""	"  99                             "	""
"3s.3p"	"3P*"	"1"	""	"0.759937"	""	""	"  99                             "	""
"3s.3p"	"3P*"	"2"	""	"0.766879"	""	""	"  99                             "	""
"3s.3p"	"1P*"	"1"	""	"1.158682"	""	""	"  96         :     4  3p.3d 1P*  "	""
"3p2"	"1D"	"2"	""	"1.765481"	""	""	"  69         :    30  3s.3d 1D   "	""
"3p2"	"3P"	"0"	""	"1.822235"	""	""	"  99                             "	""
"3p2"	"3P"	"1"	""	"1.825911"	""	""	"  99                             "	""
"3p2"	"3P"	"2"	""	"1.832977"	""	""	"  98                             "	""
"3s.3d"	"3D"	"1"	""	"2.140944"	""	""	"  99                             "	""
"3s.3d"	"3D"	"2"	""	"2.140996"	""	""	"  99                             "	""
"3s.3d"	"3D"	"3"	""	"2.141077"	""	""	"  99                             "	""
"3p2"	"1S"	"0"	""	"2.144667"	""	""	"  92         :     4  3d2   1S   "	""
"3s.3d"	"1D"	"2"	""	"2.466804"	""	""	"  68         :    28  3p2   1D   "	""
"3s.4s"	"3S"	"1"	""	"2.839463"	""	""	"  98         :     1  3p.4p 3S   "	""
"3s.4s"	"1S"	"0"	""	"2.917039"	""	""	"  97         :     2  3p.4p 1S   "	""
"3p.3d"	"3F*"	"2"	""	"2.944601"	""	""	"  98                             "	""
"3p.3d"	"3F*"	"3"	""	"2.948380"	""	""	"  98                             "	""
"3p.3d"	"3F*"	"4"	""	"2.953235"	""	""	"                                 "	""
"3p.3d"	"1D*"	"2"	""	"2.993096"	""	""	"  99                             "	""
"3p.3d"	"3P*"	"2"	""	"3.146953"	""	""	"  95         :     2  3p.3d 3D*  "	""
"3p.3d"	"3P*"	"1"	""	"3.150367"	""	""	"  95         :     2  3p.3d 3D*  "	""
"3p.3d"	"3P*"	"0"	""	"3.152556"	""	""	"  97         :     1  3s.4p 3P*  "	""
