configuration	term	J	energy
2s2.2p3	4S*	3/2	0.0
2s2.2p3	2D*	3/2	0.8641
2s2.2p3	2D*	5/2	0.894461
2s2.2p3	2P*	1/2	1.359483
2s2.2p3	2P*	3/2	1.40391
2s.(2S).2p4.(3P)	4P	5/2	4.0636
2s.(2S).2p4.(3P)	4P	3/2	4.1746
2s.(2S).2p4.(3P)	4P	1/2	4.2288
2s.(2S).2p4.(1D)	2D	3/2	5.5937
2s.(2S).2p4.(1D)	2D	5/2	5.5994
2s.(2S).2p4.(1S)	2S	1/2	6.519
2s.(2S).2p4.(3P)	2P	3/2	6.7959
2s.(2S).2p4.(3P)	2P	1/2	6.9424
2p5	2P*	3/2	10.6318
2p5	2P*	1/2	10.8099
2s2.2p2.(3P).3s	4P	1/2	26.126
2s2.2p2.(3P).3s	4P	3/2	26.201
2s2.2p2.(3P).3s	4P	5/2	26.2802
2s2.2p2.(3P).3s	2P	3/2	26.537
2s2.2p2.(1D).3s	2D	5/2	26.943
2s2.2p2.(1D).3s	2D	3/2	26.956
2s2.2p2.(3P).3p	4D*	3/2	27.304
2s2.2p2.(3P).3p	4P*	1/2	27.436
2s2.2p2.(3P).3p	4D*	7/2	27.4425
2s2.2p2.(3P).3p	4P*	3/2	27.445
2s2.2p2.(3P).3p	4S*	3/2	27.876
2s2.2p2.(1D).3p	2D*	5/2	28.476
2s2.2p2.(1D).3p	2P*	1/2	28.557
2s2.2p2.(1D).3p	2P*	3/2	28.637
2s.2p3.(5S*).3s	4S*	3/2	28.8499
2s2.2p2.(3P).3d	2F	5/2	28.941
2s2.2p2.(3P).3d	4P	5/2	29.0453
2s2.2p2.(3P).3d	2F	7/2	29.069
2s2.2p2.(3P).3d	4P	3/2	29.07
2s2.2p2.(3P).3d	2D	3/2	29.357
2s2.2p2.(3P).3d	2D	5/2	29.404
2s2.2p2.(1D).3d	2G	7/2	29.6937
2s2.2p2.(1D).3d	2F	5/2	29.75
2s.2p3.(5S*).3p	4P	5/2	29.778
2s2.2p2.(1D).3d	2P	1/2	29.811
2s2.2p2.(1D).3d	2P	3/2	29.859
2s2.2p2.(3P).4d	4P	5/2	36.391
