configuration	term	J	energy
3s2.3p5.(2P*<1/2>).6p	2[3/2]	2	1.11753284
3s2.3p5.(2P*<3/2>).5f	2[3/2]	1	1.11799769
3s2.3p5.(2P*<3/2>).5f	2[3/2]	2	1.11800083
3s2.3p5.(2P*<3/2>).5f	2[9/2]	5	1.1180849
3s2.3p5.(2P*<3/2>).5f	2[9/2]	4	1.11808546
3s2.3p5.(2P*<3/2>).5f	2[5/2]	3	1.11819668
3s2.3p5.(2P*<3/2>).5f	2[5/2]	2	1.11819872
3s2.3p5.(2P*<3/2>).5g	2[5/2]*	2	1.1182108
3s2.3p5.(2P*<3/2>).5g	2[5/2]*	3	1.1182108
3s2.3p5.(2P*<3/2>).5g	2[11/2]*	5	1.1182417
3s2.3p5.(2P*<3/2>).5g	2[11/2]*	6	1.1182417
3s2.3p5.(2P*<3/2>).5f	2[7/2]	3	1.11828709
3s2.3p5.(2P*<3/2>).5f	2[7/2]	4	1.11828736
3s2.3p5.(2P*<3/2>).5g	2[7/2]*	3	1.1183021
3s2.3p5.(2P*<3/2>).5g	2[7/2]*	4	1.1183021
3s2.3p5.(2P*<3/2>).5g	2[9/2]*	4	1.1183341999999998
3s2.3p5.(2P*<3/2>).5g	2[9/2]*	5	1.1183341999999998
3s2.3p5.(2P*<1/2>).6p	2[1/2]	0	1.1189498
3s2.3p5.(2P*<3/2>).7p	2[1/2]	1	1.12242512
3s2.3p5.(2P*<3/2>).7p	2[5/2]	3	1.12273368
3s2.3p5.(2P*<3/2>).7p	2[5/2]	2	1.1228695
3s2.3p5.(2P*<3/2>).7p	2[3/2]	1	1.1231813999999998
3s2.3p5.(2P*<3/2>).7p	2[3/2]	2	1.12324166
3s2.3p5.(2P*<1/2>).5d	2[3/2]*	2	1.1242568179999999
3s2.3p5.(2P*<3/2>).7p	2[1/2]	0	1.12436725
3s2.3p5.(2P*<3/2>).6d	2[1/2]*	1	1.125122959
3s2.3p5.(2P*<1/2>).5d	2[5/2]*	2	1.125464832
3s2.3p5.(2P*<3/2>).6d	2[1/2]*	0	1.12549616
3s2.3p5.(2P*<1/2>).5d	2[5/2]*	3	1.125938082
3s2.3p5.(2P*<3/2>).6d	2[7/2]*	4	1.12681066
3s2.3p5.(2P*<3/2>).6d	2[7/2]*	3	1.127910416
3s2.3p5.(2P*<3/2>).6d	2[3/2]*	2	1.12822618
3s2.3p5.(2P*<1/2>).5d	2[3/2]*	1	1.1282903999999998
3s2.3p5.(2P*<3/2>).6d	2[5/2]*	2	1.12839237
3s2.3p5.(2P*<3/2>).6d	2[5/2]*	3	1.12844403
3s2.3p5.(2P*<1/2>).7s	2[1/2]*	0	1.12881383
3s2.3p5.(2P*<1/2>).7s	2[1/2]*	1	1.1288977
3s2.3p5.(2P*<3/2>).8s	2[3/2]*	2	1.12908922
3s2.3p5.(2P*<3/2>).8s	2[3/2]*	1	1.12938675
3s2.3p5.(2P*<3/2>).6d	2[3/2]*	1	1.1299438999999998
3s2.3p5.(2P*<3/2>).6f	2[3/2]	1	1.13034567
3s2.3p5.(2P*<3/2>).6f	2[3/2]	2	1.1303471
3s2.3p5.(2P*<3/2>).6f	2[9/2]	5	1.13039581
3s2.3p5.(2P*<3/2>).6f	2[9/2]	4	1.13039607
3s2.3p5.(2P*<3/2>).6f	2[5/2]	3	1.13043931
3s2.3p5.(2P*<3/2>).6f	2[5/2]	2	1.13044163
3s2.3p5.(2P*<3/2>).6g	2[5/2]*	2	1.1304729
3s2.3p5.(2P*<3/2>).6g	2[5/2]*	3	1.1304729
3s2.3p5.(2P*<3/2>).6g	2[11/2]*	5	1.1304903999999998
3s2.3p5.(2P*<3/2>).6g	2[11/2]*	6	1.1304903999999998
3s2.3p5.(2P*<3/2>).6f	2[7/2]	3	1.13050179
3s2.3p5.(2P*<3/2>).6f	2[7/2]	4	1.13050187
3s2.3p5.(2P*<3/2>).6g	2[7/2]*	3	1.1305228999999999
3s2.3p5.(2P*<3/2>).6g	2[7/2]*	4	1.1305228999999999
3s2.3p5.(2P*<3/2>).6g	2[9/2]*	4	1.130542
3s2.3p5.(2P*<3/2>).6g	2[9/2]*	5	1.130542
3s2.3p5.(2P*<1/2>).5f	2[7/2]	3	1.13120745
