Configuration	Term	J	Level (Ry)	Uncertainty (Ry)	Lande	Leading percentages	Reference
"2s2.2p.4p"	"1S"	"0"	" 0.7495337379"	"0.000000003"	""	"  79         :    13  2s2.2p.5p             1S      "	"L20057"
"2s2.2p.4d"	"1D*"	"2"	" 0.7608859975"	"0.000000003"	""	"  97                                                "	"L20057"
"2s2.2p.5s"	"3P*"	"0"	" 0.763095907"	"0.000000009"	""	"  94         :     6  2s2.2p.4d             3P*     "	"L20057"
"2s2.2p.4d"	"3F*"	"2"	" 0.7631627579"	"0.000000003"	""	"  86         :    13  2s2.2p.4d             3D*     "	"L20057"
"2s2.2p.5s"	"3P*"	"1"	" 0.763208379"	"0.000000005"	""	"  89         :     6  2s2.2p.4d             3P*     "	"L20057"
"2s2.2p.4d"	"3F*"	"3"	" 0.7632888927"	"0.0000000016"	""	"  78         :    19  2s2.2p.4d             3D*     "	"L20057"
"2s2.2p.5s"	"3P*"	"2"	" 0.763560576"	"0.000000005"	""	"  74         :    11  2s2.2p.4d             3D*     "	"L20057"
"2s2.2p.4d"	"3F*"	"4"	" 0.7636291748"	"0.0000000015"	""	" 100                                                "	"L20057"
"2s2.2p.4d"	"3D*"	"1"	" 0.763825478"	"0.000000007"	""	"  94         :     4  2s2.2p.4d             1P*     "	"L20057"
"2s2.2p.4d"	"3D*"	"2"	" 0.763988733"	"0.000000004"	""	"  75         :    16  2s2.2p.5s             3P*     "	"L20057"
"2s2.2p.4d"	"3D*"	"3"	" 0.764087125"	"0.000000003"	""	"  80         :    20  2s2.2p.4d             3F*     "	"L20057"
"2s2.2p.5s"	"1P*"	"1"	" 0.76434624"	"0.00000005"	""	"  65         :    28  2s2.2p.4d             1P*     "	"L20057"
