Configuration	Term	J	Level (Ry)	Uncertainty (Ry)	Lande	Reference
"3p6.4s"	"2S"	"1/2"	" 0.000000000"	"0.000000005"	"2.002295"	"L7185"
"3p6.4p"	"2P*"	"1/2"	" 0.118329718960"	"0.000000000018"	""	"L8995"
"3p6.4p"	"2P*"	"3/2"	" 0.11885561394"	"0.00000000004"	""	"L8995"
"3p6.5s"	"2S"	"1/2"	" 0.19160803"	"0.00000005"	""	"L1792"
"3p6.3d"	"2D"	"5/2"	" 0.19623844"	"0.00000005"	""	"L1792"
"3p6.3d"	"2D"	"3/2"	" 0.19625948"	"0.00000005"	""	"L1792"
"3p6.5p"	"2P*"	"1/2"	" 0.22509556"	"0.00000005"	"0.665"	"L1792"
"3p6.5p"	"2P*"	"3/2"	" 0.22526648"	"0.00000005"	""	"L1792"
"3p6.4d"	"2D"	"5/2"	" 0.24966054"	"0.00000005"	""	"L1792"
"3p6.4d"	"2D"	"3/2"	" 0.24967029"	"0.00000005"	""	"L1792"
"3p6.6s"	"2S"	"1/2"	" 0.250149279"	"0.00000003"	""	"L5770"
"3p6.4f"	"2F*"	"5/2"	" 0.2563198"	"0.0000005"	""	"L6096"
"3p6.4f"	"2F*"	"7/2"	" 0.2563198"	"0.0000005"	""	"L6096"
"3p6.6p"	"2P*"	"1/2"	" 0.2642608"	"0.0000005"	"0.6663"	"L6096"
"3p6.6p"	"2P*"	"3/2"	" 0.2643377"	"0.0000005"	"1.3337"	"L6096"
"3p6.5d"	"2D"	"5/2"	" 0.275068182"	"0.00000003"	"1.2004"	"L5770"
"3p6.5d"	"2D"	"3/2"	" 0.275072772"	"0.00000003"	"0.7997"	"L5770"
"3p6.7s"	"2S"	"1/2"	" 0.275879253"	"0.00000003"	"2.0020"	"L5770"
"3p6.5f"	"2F*"	"5/2"	" 0.2789090"	"0.0000005"	""	"L6096"
"3p6.5f"	"2F*"	"7/2"	" 0.2789090"	"0.0000005"	""	"L6096"
"3p6.5g"	"2G"	"7/2"	" 0.27900546"	"0.00000009"	""	"L873"
"3p6.5g"	"2G"	"9/2"	" 0.27900546"	"0.00000009"	""	"L873"
"3p6.7p"	"2P*"	"1/2"	" 0.2831298"	"0.0000005"	"0.6659"	"L6096"
"3p6.7p"	"2P*"	"3/2"	" 0.2831708"	"0.0000005"	"1.3336"	"L6096"
"3p6.6d"	"2D"	"5/2"	" 0.288834298"	"0.00000003"	"1.2013"	"L5770"
"3p6.6d"	"2D"	"3/2"	" 0.288836718"	"0.00000003"	"0.7999"	"L5770"
"3p6.8s"	"2S"	"1/2"	" 0.289467411"	"0.00000003"	"2.0028"	"L5770"
"3p6.6f"	"2F*"	"5/2"	" 0.2911787"	"0.0000005"	""	"L6096"
"3p6.6f"	"2F*"	"7/2"	" 0.2911787"	"0.0000005"	""	"L6096"
"3p6.8p"	"2P*"	"1/2"	" 0.2936780"	"0.0000005"	""	"L6096"
"3p6.8p"	"2P*"	"3/2"	" 0.2937024"	"0.0000005"	""	"L6096"
"3p6.7d"	"2D"	"5/2"	" 0.297057459"	"0.000000006"	""	"L5451"
"3p6.7d"	"2D"	"3/2"	" 0.297058876"	"0.000000006"	""	"L5451"
"3p6.9s"	"2S"	"1/2"	" 0.297513666"	"0.000000006"	""	"L5451"
"3p6.7f"	"2F*"	"5/2"	" 0.2985748"	"0.0000005"	""	"L6096"
"3p6.7f"	"2F*"	"7/2"	" 0.2985748"	"0.0000005"	""	"L6096"
"3p6.9p"	"2P*"	"1/2"	" 0.300173216"	"0.00000003"	""	"L5783"
"3p6.9p"	"2P*"	"3/2"	" 0.300188919"	"0.00000003"	""	"L5783"
"3p6.8d"	"2D"	"5/2"	" 0.302341402"	"0.000000006"	""	"L5451"
"3p6.8d"	"2D"	"3/2"	" 0.302342300"	"0.000000006"	""	"L5451"
"3p6.10s"	"2S"	"1/2"	" 0.302670304"	"0.000000006"	""	"L5451"
"3p6.8f"	"2F*"	"5/2"	" 0.3033736"	"0.0000005"	""	"L6096"
"3p6.8f"	"2F*"	"7/2"	" 0.3033736"	"0.0000005"	""	"L6096"
"3p6.10p"	"2P*"	"1/2"	" 0.304456423"	"0.00000003"	""	"L5783"
"3p6.10p"	"2P*"	"3/2"	" 0.304467067"	"0.00000003"	""	"L5783"
"3p6.9d"	"2D"	"5/2"	" 0.305931114"	"0.000000006"	""	"L5451"
"3p6.9d"	"2D"	"3/2"	" 0.305931712"	"0.000000006"	""	"L5451"
"3p6.11s"	"2S"	"1/2"	" 0.306172604"	"0.000000006"	""	"L5451"
"3p6.9f"	"2F*"	"5/2"	" 0.3066625"	"0.0000005"	""	"L6096"
