Configuration	Term	J	Prefix	Level (Ry)	Suffix	Uncertainty (Ry)	Leading percentages	Reference
"2s2.2p4.(1D).3d"	"2D"	"5/2"	""	"8.77214"	""	""	"  61         :    36  2s2.2p4.(1D).3d    2F    "	""
"2s2.2p4.(1D).3d"	"2D"	"3/2"	""	"8.77841"	""	""	"  94         :     5  2s2.2p4.(3P).3d    2D    "	""
"2s2.2p4.(1D).3d"	"2F"	"7/2"	""	"8.77873"	""	""	" 100                                           "	""
"2s2.2p4.(1D).3d"	"2F"	"5/2"	""	"8.77877"	""	""	"  63         :    34  2s2.2p4.(1D).3d    2D    "	""
"2s2.2p4.(3P).4s"	"4P"	"5/2"	""	"9.12258"	""	""	"                                               "	""
"2s2.2p4.(3P).4s"	"4P"	"3/2"	""	"9.13934"	""	""	"                                               "	""
"2s2.2p4.(3P).4s"	"4P"	"1/2"	""	"9.15321"	""	""	"                                               "	""
"2s2.2p4.(3P).4s"	"2P"	"3/2"	""	"9.1654"	""	""	"                                               "	""
"2s2.2p4.(1S).3d"	"2D"	"5/2"	""	"9.17779"	""	""	"  98                                           "	""
"2s2.2p4.(1S).3d"	"2D"	"3/2"	""	"9.1791"	""	""	"  98                                           "	""
"2s2.2p4.(3P).4s"	"2P"	"1/2"	""	"9.18624"	""	""	"                                               "	""
"2s2.2p4.(1D).4s"	"2D"	"5/2"	""	"9.5090"	""	""	"                                               "	""
"2s2.2p4.(1D).4s"	"2D"	"3/2"	""	"9.50903"	""	""	"                                               "	""
"2s2.2p4.(3P).4d"	"4D"	"5/2"	""	"9.6823"	""	""	"                                               "	""
"2s2.2p4.(3P).4d"	"4D"	"3/2"	""	"9.6851"	""	""	"                                               "	""
"2s2.2p4.(3P).4d"	"4P"	"3/2"	""	"9.6927"	""	""	"                                               "	""
"2s2.2p4.(3P).4d"	"4P"	"5/2"	""	"9.6963"	""	""	"                                               "	""
"2s2.2p4.(3P).4d"	"2P"	"1/2"	""	"9.7065"	""	""	"                                               "	""
"2s2.2p4.(3P).4d"	"2D"	"3/2"	""	"9.7092"	""	""	"                                               "	""
"2s2.2p4.(3P).4d"	"2D"	"5/2"	""	"9.7197"	""	""	"                                               "	""
"2s2.2p4.(3P).4d"	"2P"	"3/2"	""	"9.7302"	""	""	"                                               "	""
