ritz_wl_vac(A)	intens	Aki(s^-1)	fik	Acc	Ei(Ry)	Ek(Ry)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"547.153"	""	"1.01e+08"	"4.53e-03"	B	"0.392333"	"2.057803"	"2s.2p2"	"4P"	"5/2"	"2s.2p.(3P*).5s"	"4P*"	"5/2"		"T5109LS"	""	
"547.206"	""	"1.92e+07"	"8.62e-04"	C+	"0.392075"	"2.057384"	"2s.2p2"	"4P"	"3/2"	"2s.2p.(3P*).5s"	"4P*"	"3/2"		"T5109LS"	""	
"547.211"	""	"2.40e+07"	"1.08e-03"	C+	"0.391875"	"2.057167"	"2s.2p2"	"4P"	"1/2"	"2s.2p.(3P*).5s"	"4P*"	"1/2"		"T5109LS"	""	
"547.277"	""	"1.20e+08"	"2.69e-03"	B	"0.392075"	"2.057167"	"2s.2p2"	"4P"	"3/2"	"2s.2p.(3P*).5s"	"4P*"	"1/2"		"T5109LS"	""	
"547.291"	""	"6.48e+07"	"1.94e-03"	B	"0.392333"	"2.057384"	"2s.2p2"	"4P"	"5/2"	"2s.2p.(3P*).5s"	"4P*"	"3/2"		"T5109LS"	""	
"549.320"	""	"6.71e+07"	"6.07e-03"	B	"0.0000000"	"1.6589016"	"2s2.2p"	"2P*"	"1/2"	"2s.2p.(3P*).3p"	"2P"	"3/2"		"T5109LS"	""	
"549.379"	""	"2.68e+08"	"1.21e-02"	B	"0.0000000"	"1.6587235"	"2s2.2p"	"2P*"	"1/2"	"2s.2p.(3P*).3p"	"2P"	"1/2"		"T5109LS"	""	
"549.511"	""	"3.35e+08"	"1.52e-02"	B	"0.0005779"	"1.6589016"	"2s2.2p"	"2P*"	"3/2"	"2s.2p.(3P*).3p"	"2P"	"3/2"		"T5109LS"	""	
"549.570"	""	"1.34e+08"	"3.03e-03"	B	"0.0005779"	"1.6587235"	"2s2.2p"	"2P*"	"3/2"	"2s.2p.(3P*).3p"	"2P"	"1/2"		"T5109LS"	""	
"551.681"	""	"2.45e+07"	"1.12e-03"	C+	"0.0000000"	"1.6518013"	"2s2.2p"	"2P*"	"1/2"	"2s2.6s"	"2S"	"1/2"		"T5109LS"	""	
"551.874"	""	"4.90e+07"	"1.12e-03"	C+	"0.0005779"	"1.6518013"	"2s2.2p"	"2P*"	"3/2"	"2s2.6s"	"2S"	"1/2"		"T5109LS"	""	
"560.239"	""	"6.06e+08"	"5.70e-02"	B	"0.0000000"	"1.6265671"	"2s2.2p"	"2P*"	"1/2"	"2s2.5d"	"2D"	"3/2"		"T5109LS"	""	
"560.437"	""	"7.27e+08"	"5.13e-02"	B	"0.0005779"	"1.6265726"	"2s2.2p"	"2P*"	"3/2"	"2s2.5d"	"2D"	"5/2"		"T5109LS"	""	
"560.439"	""	"1.21e+08"	"5.70e-03"	B	"0.0005779"	"1.6265671"	"2s2.2p"	"2P*"	"3/2"	"2s2.5d"	"2D"	"3/2"		"T5109LS"	""	
"562.298"	""	"1.75e+08"	"8.30e-03"	B	"0.391875"	"2.0124884"	"2s.2p2"	"4P"	"1/2"	"2s.2p.(3P*).4d"	"4P*"	"1/2"		"T5109LS"	""	
"562.338"	""	"4.37e+08"	"4.14e-02"	B	"0.391875"	"2.0123706"	"2s.2p2"	"4P"	"1/2"	"2s.2p.(3P*).4d"	"4P*"	"3/2"		"T5109LS"	""	
