R rho Te mu radheat radcool PdV advheat advcool
1.00534e+00 1.32964e-16 1.97540e+03 8.71406e-01 7.08570e-09 2.79060e-10 2.05330e-08 1.44246e-08 -0.00000e+00
1.00617e+00 1.32570e-16 1.97220e+03 8.71254e-01 7.06254e-09 2.77657e-10 2.04895e-08 1.44033e-08 -0.00000e+00
1.00701e+00 1.32176e-16 1.96900e+03 8.71102e-01 7.03936e-09 2.76252e-10 2.04460e-08 1.43845e-08 -0.00000e+00
1.00784e+00 1.31781e-16 1.96580e+03 8.70950e-01 7.01617e-09 2.74846e-10 2.04025e-08 1.43657e-08 -0.00000e+00
1.00868e+00 1.31386e-16 1.96259e+03 8.70798e-01 6.99295e-09 2.73439e-10 2.03590e-08 1.43468e-08 -0.00000e+00
1.00952e+00 1.30990e-16 1.95938e+03 8.70646e-01 6.96971e-09 2.72031e-10 2.03155e-08 1.43279e-08 -0.00000e+00
1.01036e+00 1.30594e-16 1.95617e+03 8.70493e-01 6.94646e-09 2.70622e-10 2.02720e-08 1.43090e-08 -0.00000e+00
1.01119e+00 1.30198e-16 1.95296e+03 8.70341e-01 6.92318e-09 2.69211e-10 2.02284e-08 1.42900e-08 -0.00000e+00
1.01203e+00 1.29802e-16 1.94974e+03 8.70188e-01 6.89989e-09 2.67799e-10 2.01849e-08 1.42710e-08 -0.00000e+00
1.01287e+00 1.29405e-16 1.94652e+03 8.70035e-01 6.87658e-09 2.66387e-10 2.01414e-08 1.42520e-08 -0.00000e+00
1.01372e+00 1.29008e-16 1.94330e+03 8.69882e-01 6.85324e-09 2.64973e-10 2.00978e-08 1.42330e-08 -0.00000e+00
1.01456e+00 1.28610e-16 1.94008e+03 8.69729e-01 6.82989e-09 2.63557e-10 2.00543e-08 1.42139e-08 -0.00000e+00
1.01540e+00 1.28213e-16 1.93685e+03 8.69576e-01 6.80652e-09 2.62141e-10 1.99904e-08 1.41953e-08 -0.00000e+00
1.01624e+00 1.27814e-16 1.93362e+03 8.69423e-01 6.78313e-09 2.60724e-10 1.99055e-08 1.42488e-08 -0.00000e+00
1.01709e+00 1.27416e-16 1.93029e+03 8.69238e-01 6.76000e-09 2.59342e-10 1.98204e-08 1.43132e-08 -0.00000e+00
1.01793e+00 1.27017e-16 1.92694e+03 8.69049e-01 6.73689e-09 2.57964e-10 1.97353e-08 1.43066e-08 -0.00000e+00
1.01878e+00 1.26617e-16 1.92359e+03 8.68859e-01 6.71376e-09 2.56585e-10 1.96479e-08 1.42894e-08 -0.00000e+00
1.01962e+00 1.26217e-16 1.92023e+03 8.68670e-01 6.69061e-09 2.55205e-10 1.95603e-08 1.42722e-08 -0.00000e+00
1.02047e+00 1.25817e-16 1.91688e+03 8.68480e-01 6.66745e-09 2.53824e-10 1.94728e-08 1.42549e-08 -0.00000e+00
1.02132e+00 1.25417e-16 1.91352e+03 8.68290e-01 6.64426e-09 2.52442e-10 1.93854e-08 1.42376e-08 -0.00000e+00
1.02216e+00 1.25016e-16 1.91015e+03 8.68100e-01 6.62105e-09 2.51058e-10 1.92982e-08 1.42203e-08 -0.00000e+00
1.02301e+00 1.24615e-16 1.90679e+03 8.67909e-01 6.59783e-09 2.49674e-10 1.92110e-08 1.42030e-08 -0.00000e+00
1.02386e+00 1.24213e-16 1.90342e+03 8.67719e-01 6.57459e-09 2.48288e-10 1.91238e-08 1.41856e-08 -0.00000e+00
1.02471e+00 1.23812e-16 1.90005e+03 8.67528e-01 6.55132e-09 2.46901e-10 1.90368e-08 1.41682e-08 -0.00000e+00
1.02556e+00 1.23409e-16 1.89668e+03 8.67338e-01 6.52804e-09 2.45513e-10 1.89499e-08 1.41508e-08 -0.00000e+00
1.02641e+00 1.23007e-16 1.89330e+03 8.67147e-01 6.50474e-09 2.44124e-10 1.88631e-08 1.41333e-08 -0.00000e+00
1.02727e+00 1.22604e-16 1.88992e+03 8.66956e-01 6.48142e-09 2.42734e-10 1.87763e-08 1.39469e-08 -0.00000e+00
1.02812e+00 1.22218e-16 1.88661e+03 8.66763e-01 6.45911e-09 2.41420e-10 1.86904e-08 1.36528e-08 -0.00000e+00
1.02897e+00 1.21841e-16 1.88333e+03 8.66568e-01 6.43744e-09 2.40155e-10 1.86050e-08 1.35279e-08 -0.00000e+00
1.02983e+00 1.21464e-16 1.88005e+03 8.66374e-01 6.41576e-09 2.38890e-10 1.85197e-08 1.35111e-08 -0.00000e+00
1.03068e+00 1.21087e-16 1.87677e+03 8.66179e-01 6.39406e-09 2.37623e-10 1.84365e-08 1.34947e-08 -0.00000e+00
1.03154e+00 1.20710e-16 1.87349e+03 8.65984e-01 6.37234e-09 2.36355e-10 1.83548e-08 1.34788e-08 -0.00000e+00
1.03240e+00 1.20332e-16 1.87021e+03 8.65789e-01 6.35061e-09 2.35087e-10 1.82733e-08 1.34628e-08 -0.00000e+00
1.03325e+00 1.19954e-16 1.86692e+03 8.65594e-01 6.32885e-09 2.33817e-10 1.81918e-08 1.34467e-08 -0.00000e+00
1.03411e+00 1.19576e-16 1.86363e+03 8.65399e-01 6.30708e-09 2.32546e-10 1.81109e-08 1.34308e-08 -0.00000e+00
1.03497e+00 1.19197e-16 1.86033e+03 8.65203e-01 6.28529e-09 2.31274e-10 1.80300e-08 1.34148e-08 -0.00000e+00
1.03583e+00 1.18818e-16 1.85704e+03 8.65008e-01 6.26348e-09 2.30001e-10 1.79493e-08 1.33988e-08 -0.00000e+00
1.03669e+00 1.18439e-16 1.85374e+03 8.64812e-01 6.24165e-09 2.28727e-10 1.78686e-08 1.33828e-08 -0.00000e+00
1.03755e+00 1.18059e-16 1.85044e+03 8.64616e-01 6.21981e-09 2.27452e-10 1.77880e-08 1.33667e-08 -0.00000e+00
1.03841e+00 1.17679e-16 1.84713e+03 8.64420e-01 6.19795e-09 2.26176e-10 1.77075e-08 1.28924e-08 -0.00000e+00
1.03927e+00 1.17310e-16 1.84401e+03 8.64220e-01 6.17657e-09 2.24970e-10 1.76290e-08 1.21476e-08 -0.00000e+00
1.04014e+00 1.16948e-16 1.84100e+03 8.64016e-01 6.15547e-09 2.23806e-10 1.75517e-08 1.18619e-08 -0.00000e+00
1.04100e+00 1.16585e-16 1.83799e+03 8.63813e-01 6.13435e-09 2.22641e-10 1.74745e-08 1.18477e-08 -0.00000e+00
1.04186e+00 1.16222e-16 1.83498e+03 8.63609e-01 6.11322e-09 2.21475e-10 1.73973e-08 1.18335e-08 -0.00000e+00
1.04273e+00 1.15858e-16 1.83196e+03 8.63406e-01 6.09207e-09 2.20308e-10 1.73202e-08 1.18192e-08 -0.00000e+00
1.04359e+00 1.15495e-16 1.82895e+03 8.63202e-01 6.07090e-09 2.19140e-10 1.72432e-08 1.18049e-08 -0.00000e+00
1.04446e+00 1.15131e-16 1.82592e+03 8.62998e-01 6.04971e-09 2.17971e-10 1.71662e-08 1.17906e-08 -0.00000e+00
1.04533e+00 1.14766e-16 1.82290e+03 8.62793e-01 6.02851e-09 2.16801e-10 1.70893e-08 1.17762e-08 -0.00000e+00
1.04620e+00 1.14402e-16 1.81987e+03 8.62589e-01 6.00728e-09 2.15631e-10 1.70145e-08 1.17623e-08 -0.00000e+00
1.04707e+00 1.14037e-16 1.81685e+03 8.62384e-01 5.98604e-09 2.14459e-10 1.69407e-08 1.17486e-08 -0.00000e+00
1.04793e+00 1.13672e-16 1.81382e+03 8.62179e-01 5.96479e-09 2.13286e-10 1.68670e-08 1.17349e-08 -0.00000e+00
1.04880e+00 1.13306e-16 1.81078e+03 8.61975e-01 5.94351e-09 2.12112e-10 1.67934e-08 1.17212e-08 -0.00000e+00
1.04968e+00 1.12940e-16 1.80775e+03 8.61769e-01 5.92222e-09 2.10938e-10 1.67206e-08 1.12378e-08 -0.00000e+00
1.05055e+00 1.12599e-16 1.80494e+03 8.61574e-01 5.90224e-09 2.09875e-10 1.66497e-08 1.07480e-08 -0.00000e+00
1.05142e+00 1.12258e-16 1.80213e+03 8.61379e-01 5.88227e-09 2.08814e-10 1.65789e-08 1.07280e-08 -0.00000e+00
