R rho Te mu radheat radcool PdV advheat advcool
1.00162e+00 2.86379e-14 4.31310e+03 1.27523e+00 2.67710e-07 1.74070e-08 2.84356e-07 2.05386e-08 -0.00000e+00
1.00246e+00 2.84948e-14 4.31162e+03 1.27517e+00 2.68677e-07 1.71998e-08 2.84550e-07 2.05060e-08 -0.00000e+00
1.00329e+00 2.83515e-14 4.31014e+03 1.27511e+00 2.69646e-07 1.69924e-08 2.84743e-07 2.04743e-08 -0.00000e+00
1.00412e+00 2.82082e-14 4.30866e+03 1.27505e+00 2.70615e-07 1.67849e-08 2.84937e-07 2.04426e-08 -0.00000e+00
1.00496e+00 2.80647e-14 4.30718e+03 1.27499e+00 2.71584e-07 1.65771e-08 2.85131e-07 2.09887e-08 -0.00000e+00
1.00580e+00 2.79125e-14 4.30561e+03 1.27493e+00 2.72465e-07 1.63626e-08 2.85320e-07 2.30700e-08 -0.00000e+00
1.00663e+00 2.77375e-14 4.30381e+03 1.27486e+00 2.73108e-07 1.61301e-08 2.85496e-07 2.45695e-08 -0.00000e+00
1.00747e+00 2.75623e-14 4.30201e+03 1.27478e+00 2.73751e-07 1.58974e-08 2.85672e-07 2.45315e-08 -0.00000e+00
1.00831e+00 2.73869e-14 4.30021e+03 1.27471e+00 2.74395e-07 1.56645e-08 2.85848e-07 2.44936e-08 -0.00000e+00
1.00915e+00 2.72114e-14 4.29841e+03 1.27464e+00 2.75039e-07 1.54315e-08 2.86024e-07 2.44555e-08 -0.00000e+00
1.00999e+00 2.70358e-14 4.29660e+03 1.27456e+00 2.75684e-07 1.51982e-08 2.86199e-07 2.44917e-08 -0.00000e+00
1.01083e+00 2.68590e-14 4.29478e+03 1.27449e+00 2.76231e-07 1.49711e-08 2.86374e-07 2.45650e-08 -0.00000e+00
1.01167e+00 2.66816e-14 4.29295e+03 1.27441e+00 2.76729e-07 1.47470e-08 2.86549e-07 2.45640e-08 -0.00000e+00
1.01251e+00 2.65041e-14 4.29112e+03 1.27433e+00 2.77227e-07 1.45228e-08 2.86724e-07 2.45256e-08 -0.00000e+00
1.01335e+00 2.63264e-14 4.28928e+03 1.27426e+00 2.77726e-07 1.42983e-08 2.86898e-07 2.44872e-08 -0.00000e+00
1.01419e+00 2.61485e-14 4.28745e+03 1.27418e+00 2.78225e-07 1.40737e-08 2.87073e-07 2.43408e-08 -0.00000e+00
1.01504e+00 2.59711e-14 4.28562e+03 1.27410e+00 2.78723e-07 1.38504e-08 2.87180e-07 2.21327e-08 -0.00000e+00
1.01588e+00 2.58047e-14 4.28406e+03 1.27402e+00 2.79196e-07 1.36565e-08 2.86245e-07 2.00388e-08 -0.00000e+00
1.01673e+00 2.56381e-14 4.28250e+03 1.27395e+00 2.79669e-07 1.34625e-08 2.85310e-07 2.00085e-08 -0.00000e+00
1.01757e+00 2.54714e-14 4.28093e+03 1.27387e+00 2.80142e-07 1.32684e-08 2.84375e-07 1.99782e-08 -0.00000e+00
1.01842e+00 2.53045e-14 4.27936e+03 1.27379e+00 2.80616e-07 1.30741e-08 2.83404e-07 1.99479e-08 -0.00000e+00
1.01927e+00 2.51375e-14 4.27779e+03 1.27371e+00 2.81090e-07 1.28796e-08 2.82396e-07 1.40982e-08 -0.00000e+00
1.02011e+00 2.49769e-14 4.27698e+03 1.27363e+00 2.81536e-07 1.27233e-08 2.81437e-07 2.30063e-09 -0.00000e+00
1.02096e+00 2.48230e-14 4.27695e+03 1.27355e+00 2.81954e-07 1.26063e-08 2.80529e-07 0.00000e+00 3.65956e-09
1.02181e+00 2.46689e-14 4.27691e+03 1.27346e+00 2.82373e-07 1.24892e-08 2.79621e-07 0.00000e+00 3.65398e-09
1.02266e+00 2.45147e-14 4.27687e+03 1.27338e+00 2.82792e-07 1.23719e-08 2.78712e-07 0.00000e+00 3.64839e-09
1.02351e+00 2.43604e-14 4.27684e+03 1.27330e+00 2.83211e-07 1.22546e-08 2.77801e-07 0.00000e+00 3.64280e-09
1.02436e+00 2.42059e-14 4.27680e+03 1.27322e+00 2.83631e-07 1.21372e-08 2.76890e-07 0.00000e+00 3.58306e-09
1.02521e+00 2.40523e-14 4.27675e+03 1.27313e+00 2.83970e-07 1.20603e-08 2.75978e-07 0.00000e+00 3.51938e-09
1.02607e+00 2.38987e-14 4.27670e+03 1.27305e+00 2.84303e-07 1.19863e-08 2.75064e-07 0.00000e+00 3.50989e-09
1.02692e+00 2.37450e-14 4.27664e+03 1.27296e+00 2.84637e-07 1.19122e-08 2.74150e-07 0.00000e+00 3.50447e-09
1.02778e+00 2.35911e-14 4.27659e+03 1.27287e+00 2.84971e-07 1.18381e-08 2.73235e-07 0.00000e+00 3.49904e-09
1.02863e+00 2.34371e-14 4.27654e+03 1.27279e+00 2.85305e-07 1.17640e-08 2.72319e-07 0.00000e+00 3.52255e-09
1.02949e+00 2.32840e-14 4.27648e+03 1.27270e+00 2.85622e-07 1.16990e-08 2.71403e-07 0.00000e+00 3.60548e-09
1.03034e+00 2.31330e-14 4.27643e+03 1.27261e+00 2.85903e-07 1.16530e-08 2.70496e-07 0.00000e+00 3.65934e-09
1.03120e+00 2.29820e-14 4.27638e+03 1.27252e+00 2.86184e-07 1.16069e-08 2.69638e-07 0.00000e+00 3.65388e-09
1.03206e+00 2.28307e-14 4.27632e+03 1.27243e+00 2.86466e-07 1.15608e-08 2.68779e-07 0.00000e+00 3.64840e-09
1.03292e+00 2.26794e-14 4.27627e+03 1.27234e+00 2.86747e-07 1.15147e-08 2.67919e-07 0.00000e+00 3.64292e-09
1.03377e+00 2.25279e-14 4.27621e+03 1.27225e+00 2.87029e-07 1.14686e-08 2.67064e-07 0.00000e+00 9.28164e-09
1.03463e+00 2.23899e-14 4.27693e+03 1.27216e+00 2.87325e-07 1.14365e-08 2.66259e-07 0.00000e+00 1.67887e-08
1.03550e+00 2.22563e-14 4.27790e+03 1.27207e+00 2.87626e-07 1.14091e-08 2.65469e-07 0.00000e+00 1.86434e-08
1.03636e+00 2.21225e-14 4.27887e+03 1.27198e+00 2.87927e-07 1.13816e-08 2.64677e-07 0.00000e+00 1.86153e-08
1.03722e+00 2.19886e-14 4.27985e+03 1.27189e+00 2.88228e-07 1.13542e-08 2.63885e-07 0.00000e+00 1.85872e-08
1.03808e+00 2.18547e-14 4.28082e+03 1.27180e+00 2.88529e-07 1.13267e-08 2.63091e-07 0.00000e+00 1.89712e-08
