ritz_wl_vac(A)	intens	Aki(s^-1)	fik	Acc	Ei(Ry)	Ek(Ry)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"36567"	""	"4.18e+05"	"8.38e-02"	B+	"1.0300074"	"1.0549282"	"2p6.8p"	"2P*"	"1/2"	"2p6.10s"	"2S"	"1/2"		"c31"	""	
"36604.6"	"20"	"8.33e+05"	"8.36e-02"	A	"1.0300333"	"1.0549282"	"2p6.8p"	"2P*"	"3/2"	"2p6.10s"	"2S"	"1/2"		"c31"	"L6692"	
"37014"	""	"1.13e+05"	"1.54e-02"	B+	"1.0224147"	"1.0470342"	"2p6.7d"	"2D"	"5/2"	"2p6.9p"	"2P*"	"3/2"		"c31"	""	
"37016"	""	"1.26e+04"	"2.58e-03"	B+	"1.0224158"	"1.0470342"	"2p6.7d"	"2D"	"3/2"	"2p6.9p"	"2P*"	"3/2"		"c31"	""	
"37042"	""	"1.23e+05"	"1.27e-02"	B+	"1.0224158"	"1.0470166"	"2p6.7d"	"2D"	"3/2"	"2p6.9p"	"2P*"	"1/2"		"c31"	""	
"41069"	""	"1.42e+05"	"2.40e-02"	D+	"1.0425219"	"1.0647106"	"2p6.8f"	"2F*"	"5/2"	"2p6.10d"	"2D"	"3/2"		"c59,LS"	""	
"41069"	""	"6.76e+03"	"1.71e-03"	E	"1.0425219"	"1.0647103"	"2p6.8f"	"2F*"	"5/2"	"2p6.10d"	"2D"	"5/2"		"c59,LS"	""	
"41069"	""	"1.36e+05"	"2.57e-02"	C	"1.0425219"	"1.0647103"	"2p6.8f"	"2F*"	"7/2"	"2p6.10d"	"2D"	"5/2"		"c59,LS"	""	
"41102.0"	"6300"	"2.95e+06"	"1.49e+00"	A	"0.9403980"	"0.9625688"	"2p6.6s"	"2S"	"1/2"	"2p6.6p"	"2P*"	"3/2"		"c31"	"L6692"	
"41227.1"	"3160"	"2.93e+06"	"7.46e-01"	A	"0.9403980"	"0.9625016"	"2p6.6s"	"2S"	"1/2"	"2p6.6p"	"2P*"	"1/2"		"c31"	"L6692"	
"45248.5"	"3160"	"2.67e+06"	"5.47e-01"	A	"0.9424296"	"0.9625688"	"2p6.5d"	"2D"	"5/2"	"2p6.6p"	"2P*"	"3/2"		"c31"	"L6692"	
"45254.6"	"500"	"2.97e+05"	"9.11e-02"	A	"0.9424324"	"0.9625688"	"2p6.5d"	"2D"	"3/2"	"2p6.6p"	"2P*"	"3/2"		"c31"	"L6692"	
"45321"	""	"1.16e+05"	"3.56e-02"	A	"1.0224147"	"1.0425219"	"2p6.7d"	"2D"	"5/2"	"2p6.8f"	"2F*"	"5/2"		"c31"	""	
"45321"	""	"1.73e+06"	"7.12e-01"	A	"1.0224147"	"1.0425219"	"2p6.7d"	"2D"	"5/2"	"2p6.8f"	"2F*"	"7/2"		"c31"	""	
"45323"	""	"1.61e+06"	"7.45e-01"	A	"1.0224158"	"1.0425219"	"2p6.7d"	"2D"	"3/2"	"2p6.8f"	"2F*"	"5/2"		"c31"	""	
"45406.2"	"2000"	"2.94e+06"	"4.55e-01"	A	"0.9424324"	"0.9625016"	"2p6.5d"	"2D"	"3/2"	"2p6.6p"	"2P*"	"1/2"		"c31"	"L6692"	
"49230"	""	"3.15e+05"	"7.63e-02"	A	"1.0233663"	"1.0418766"	"2p6.7f"	"2F*"	"5/2"	"2p6.8d"	"2D"	"3/2"		"c31"	""	
"49232"	""	"1.49e+04"	"5.43e-03"	B+	"1.0233663"	"1.0418760"	"2p6.7f"	"2F*"	"5/2"	"2p6.8d"	"2D"	"5/2"		"c31"	""	
"49232"	""	"2.99e+05"	"8.14e-02"	A	"1.0233663"	"1.0418760"	"2p6.7f"	"2F*"	"7/2"	"2p6.8d"	"2D"	"5/2"		"c31"	""	
"50160.8"	"400"	"2.53e+06"	"1.91e+00"	A	"1.0042489"	"1.0224158"	"2p6.7p"	"2P*"	"1/2"	"2p6.7d"	"2D"	"3/2"		"c31"	"L6692"	
"50272"	""	"5.06e+05"	"1.92e-01"	A	"1.0042891"	"1.0224158"	"2p6.7p"	"2P*"	"3/2"	"2p6.7d"	"2D"	"3/2"		"c31"	""	
"50275.0"	"630"	"3.03e+06"	"1.72e+00"	A	"1.0042891"	"1.0224147"	"2p6.7p"	"2P*"	"3/2"	"2p6.7d"	"2D"	"5/2"		"c31"	"L6692"	
"51502"	""	"2.78e+05"	"2.21e-01"	C	"1.0470166"	"1.0647106"	"2p6.9p"	"2P*"	"1/2"	"2p6.10d"	"2D"	"3/2"		"c59,LS"	""	
"51553"	""	"5.52e+04"	"2.20e-02"	D+	"1.0470342"	"1.0647106"	"2p6.9p"	"2P*"	"3/2"	"2p6.10d"	"2D"	"3/2"		"c59,LS"	""	
"51554"	""	"3.31e+05"	"1.98e-01"	C	"1.0470342"	"1.0647103"	"2p6.9p"	"2P*"	"3/2"	"2p6.10d"	"2D"	"5/2"		"c59,LS"	""	
"51931.3"	"500"	"1.54e+06"	"6.24e-01"	A	"1.0042489"	"1.0217965"	"2p6.7p"	"2P*"	"1/2"	"2p6.8s"	"2S"	"1/2"		"c31"	"L6692"	
"52050.5"	"1000"	"3.08e+06"	"6.26e-01"	A	"1.0042891"	"1.0217965"	"2p6.7p"	"2P*"	"3/2"	"2p6.8s"	"2S"	"1/2"		"c31"	"L6692"	
"52473"	""	"2.22e+04"	"1.83e-02"	D	"1.0414813"	"[1.058848]"	"2p6.9s"	"2S"	"1/2"	"2p6.10p"	"2P*"	"3/2"		"c59,LS"	""	
"52512"	""	"2.21e+04"	"9.13e-03"	D	"1.0414813"	"[1.058835]"	"2p6.9s"	"2S"	"1/2"	"2p6.10p"	"2P*"	"1/2"		"c59,LS"	""	
"53695"	""	"9.16e+03"	"3.96e-03"	D	"1.0418766"	"[1.058848]"	"2p6.8d"	"2D"	"3/2"	"2p6.10p"	"2P*"	"3/2"		"c59,LS"	""	
"53694"	""	"8.26e+04"	"2.38e-02"	C	"1.0418760"	"[1.058848]"	"2p6.8d"	"2D"	"5/2"	"2p6.10p"	"2P*"	"3/2"		"c59,LS"	""	
"53736"	""	"9.15e+04"	"1.98e-02"	D+	"1.0418766"	"[1.058835]"	"2p6.8d"	"2D"	"3/2"	"2p6.10p"	"2P*"	"1/2"		"c59,LS"	""	
"66141"	""	"5.78e+04"	"3.79e-02"	A	"1.0418760"	"1.0556537"	"2p6.8d"	"2D"	"5/2"	"2p6.9f"	"2F*"	"5/2"		"c31"	""	
"66141"	""	"8.67e+05"	"7.58e-01"	A	"1.0418760"	"1.0556537"	"2p6.8d"	"2D"	"5/2"	"2p6.9f"	"2F*"	"7/2"		"c31"	""	
"66144"	""	"8.06e+05"	"7.93e-01"	A	"1.0418766"	"1.0556537"	"2p6.8d"	"2D"	"3/2"	"2p6.9f"	"2F*"	"5/2"		"c31"	""	
"70241"	""	"1.20e+06"	"1.77e+00"	A	"0.9913158"	"1.0042891"	"2p6.7s"	"2S"	"1/2"	"2p6.7p"	"2P*"	"3/2"		"c31"	""	
"70460"	""	"1.19e+06"	"8.83e-01"	A	"0.9913158"	"1.0042489"	"2p6.7s"	"2S"	"1/2"	"2p6.7p"	"2P*"	"1/2"		"c31"	""	
