ritz_wl_vac(A)	unc_ritz_wl	intens	Aki(s^-1)	fik	Acc	Ei(Ry)	Ek(Ry)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"22272.796"	"0.010"	"710"	"2.65e+05"	"9.9e-03"	C	"0.104977610"	"0.145891515"	"3d2.(3F).4s"	"4F"	"3/2"	"3d.4s.(3D).4p"	"4D*"	"1/2"		"T9506"	"L11621,L4189c12"	
"22396.084"	"0.011"	"12"	"2.43e+03"	"1.83e-04"	B	"0.105321107"	"0.146009785"	"3d2.(3F).4s"	"4F"	"5/2"	"3d.4s.(1D).4p"	"2D*"	"5/2"		"T9506"	"L19272,L4189c12"	
"22400.815"	"0.009"	"695"	"2.19e+05"	"1.10e-02"	B+	"0.105321107"	"0.146001191"	"3d2.(3F).4s"	"4F"	"5/2"	"3d.4s.(3D).4p"	"4D*"	"3/2"		"T9506"	"L11621,L4189c12"	
"22643.302"	"0.015"	"60"	"7.2e+03"	"6.9e-04"	C	"0.105800252"	"0.146044695"	"3d2.(3F).4s"	"4F"	"7/2"	"3d.4s.(3D).4p"	"4F*"	"9/2"		"T9506"	"L19272,L4189c12"	
"22662.960"	"0.009"	"250"	"7.20e+04"	"4.16e-03"	B	"0.105800252"	"0.146009785"	"3d2.(3F).4s"	"4F"	"7/2"	"3d.4s.(1D).4p"	"2D*"	"5/2"		"T9506"	"L11621,L4189c12"	
"22992.519"	"0.010"	"510"	"7.5e+04"	"5.93e-03"	C	"0.106411498"	"0.146044695"	"3d2.(3F).4s"	"4F"	"9/2"	"3d.4s.(3D).4p"	"4F*"	"9/2"		"T9506"	"L11621,L4189c12"	
"23126.453"	"0.008"	"85"	"1.19e+04"	"1.27e-03"	C	"0.105321107"	"0.144724774"	"3d2.(3F).4s"	"4F"	"5/2"	"3d.4s.(3D).4p"	"4F*"	"7/2"		"T9506"	"L11621,L4189c12"	
"23411.130"	"0.008"	"460"	"6.73e+04"	"5.53e-03"	C	"0.105800252"	"0.144724774"	"3d2.(3F).4s"	"4F"	"7/2"	"3d.4s.(3D).4p"	"4F*"	"7/2"		"T9506"	"L11621,L4189c12"	
"23604.009"	"0.009"	"70"	"1.13e+04"	"1.42e-03"	C	"0.104977610"	"0.143584062"	"3d2.(3F).4s"	"4F"	"3/2"	"3d.4s.(3D).4p"	"4F*"	"5/2"		"T9506"	"L11621,L4189c12"	
"23784.629"	"0.009"	"50"	"2.67e+03"	"1.81e-04"	C	"0.106411498"	"0.144724774"	"3d2.(3F).4s"	"4F"	"9/2"	"3d.4s.(3D).4p"	"4F*"	"7/2"		"T9506"	"L11621,L4189c12"	
"23815.909"	"0.009"	"365"	"6.56e+04"	"5.58e-03"	C	"0.105321107"	"0.143584062"	"3d2.(3F).4s"	"4F"	"5/2"	"3d.4s.(3D).4p"	"4F*"	"5/2"		"T9506"	"L11621,L4189c12"	
"24081.308"	"0.009"	"405"	"6.42e+04"	"5.58e-03"	C	"0.104977610"	"0.142818871"	"3d2.(3F).4s"	"4F"	"3/2"	"3d.4s.(3D).4p"	"4F*"	"3/2"		"T9506"	"L11621,L4189c12"	
"24117.924"	"0.012"	"55*"	"2.74e+03"	"1.79e-04"	C	"0.105800252"	"0.143584062"	"3d2.(3F).4s"	"4F"	"7/2"	"3d.4s.(3D).4p"	"4F*"	"5/2"		"T9506"	"L19272,L4189c12"	
"24301.904"	"0.009"	"27"	"7.3e+03"	"4.30e-04"	C	"0.105321107"	"0.142818871"	"3d2.(3F).4s"	"4F"	"5/2"	"3d.4s.(3D).4p"	"4F*"	"3/2"		"T9506"	"L11621,L4189c12"	
