Configuration	Term	J	Level (Ry)	Uncertainty (Ry)	Lande	Reference
"3s2.3p4.(1S).3d"	"2D"	"3/2"	" 1.639659565"	"0.000000011"	""	"L15349"
"3s2.3p4.(3P).5s"	"4P"	"5/2"	" 1.6548075673"	"0.0000000018"	"1.603"	"L15349"
"3s2.3p4.(3P).5s"	"4P"	"3/2"	" 1.6605301466"	"0.0000000018"	"1.609"	"L15349"
"3s2.3p4.(3P).5s"	"4P"	"1/2"	" 1.6671745592"	"0.0000000018"	"2.550"	"L15349"
"3s2.3p4.(3P).5s"	"2P"	"3/2"	" 1.6684469778"	"0.0000000009"	"1.445"	"L15349"
"3s2.3p4.(3P).4d"	"4D"	"7/2"	" 1.673775782"	"0.000000003"	"1.427"	"L15349"
"3s2.3p4.(3P).4d"	"4D"	"5/2"	" 1.674885577"	"0.000000003"	"1.370"	"L15349"
"3s2.3p4.(3P).5s"	"2P"	"1/2"	" 1.6759535520"	"0.0000000018"	"0.816"	"L15349"
"3s2.3p4.(3P).4d"	"4D"	"3/2"	" 1.676603921"	"0.000000003"	"1.198"	"L15349"
"3s2.3p4.(1D).3d"	"2S"	"1/2"	" 1.677580070"	"0.000000005"	""	"L15349"
"3s2.3p4.(3P).4d"	"4D"	"1/2"	" 1.678479108"	"0.000000005"	"0.380"	"L15349"
"3s2.3p4.(3P).4d"	"4F"	"9/2"	" 1.686694527"	"0.000000005"	"1.330"	"L15349"
"3s2.3p4.(3P).4d"	"4F"	"7/2"	" 1.691537897"	"0.000000003"	"1.217"	"L15349"
"3s2.3p4.(3P).4d"	"4F"	"5/2"	" 1.6956350385"	"0.0000000018"	"1.045"	"L15349"
"3s2.3p4.(3P).4d"	"4P"	"1/2"	" 1.696518015"	"0.000000004"	"2.600"	"L15349"
"3s2.3p4.(3P).4d"	"4F"	"3/2"	" 1.6980601397"	"0.0000000018"	"0.612"	"L15349"
"3s2.3p4.(3P).4d"	"4P"	"3/2"	" 1.699242953"	"0.000000003"	"1.494"	"L15349"
"3s2.3p4.(3P).4d"	"2F"	"7/2"	" 1.7023931052"	"0.0000000018"	"1.167"	"L15349"
"3s2.3p4.(3P).4d"	"4P"	"5/2"	" 1.703076462"	"0.000000003"	"1.588"	"L15349"
"3s2.3p4.(3P).4d"	"2F"	"5/2"	" 1.7094398303"	"0.0000000018"	"0.861"	"L15349"
"3s2.3p4.(3P).5p"	"4P*"	"5/2"	" 1.7201643008"	"0.0000000018"	""	"L15349"
"3s2.3p4.(3P).5p"	"4P*"	"3/2"	" 1.7226677537"	"0.0000000018"	""	"L15349"
"3s2.3p4.(3P).5p"	"4D*"	"7/2"	" 1.7260767390"	"0.0000000018"	""	"L15349"
"3s2.3p4.(3P).5p"	"4P*"	"1/2"	" 1.726283702"	"0.000000003"	""	"L15349"
"3s2.3p4.(3P).5p"	"4D*"	"5/2"	" 1.7282621460"	"0.0000000018"	""	"L15349"
"3s2.3p4.(3P).4d"	"2P"	"1/2"	" 1.730811721"	"0.000000006"	"0.667"	"L15349"
"3s2.3p4.(3P).5p"	"4D*"	"3/2"	" 1.7323760730"	"0.0000000018"	""	"L15349"
"3s2.3p4.(3P).5p"	"2P*"	"1/2"	" 1.733195362"	"0.000000005"	""	"L15349"
"3s2.3p4.(3P).5p"	"2P*"	"3/2"	" 1.7360312818"	"0.0000000018"	""	"L15349"
"3s2.3p4.(3P).5p"	"2D*"	"5/2"	" 1.7360664075"	"0.0000000018"	""	"L15349"
"3s2.3p4.(3P).4d"	"2P"	"3/2"	" 1.736804198"	"0.000000006"	"1.322"	"L15349"
"3s2.3p4.(3P).5p"	"4D*"	"1/2"	" 1.738087126"	"0.000000004"	""	"L15349"
"3s2.3p4.(3P).5p"	"2S*"	"1/2"	" 1.739998111"	"0.000000003"	""	"L15349"
"3s2.3p4.(3P).5p"	"2D*"	"3/2"	" 1.7406332879"	"0.0000000018"	""	"L15349"
"3s2.3p4.(3P).5p"	"4S*"	"3/2"	" 1.7420655263"	"0.0000000018"	""	"L15349"
"3s2.3p4.(1S).4p"	"2P*"	"3/2"	" 1.749401093"	"0.000000005"	"1.332"	"L15349"
"3s2.3p4.(1S).4p"	"2P*"	"1/2"	" 1.752671800"	"0.000000004"	"0.760"	"L15349"
"3s2.3p4.(3P).4d"	"2D"	"5/2"	" 1.754707746"	"0.000000005"	"1.198"	"L15349"
"3s2.3p4.(3P).4d"	"2D"	"3/2"	" 1.756121487"	"0.000000018"	"0.833"	"L15349"
