Configuration	Term	J	Prefix	Level (Ry)	Suffix	Uncertainty (Ry)	Leading percentages	Reference
"3d3.(4F).4d"	"5G"	"5"	""	"3.281147"	""	"0.000003"	"  64                        :    35  3d3.(4F).4d  5F   "	"L18718,L11803"
"3d3.(4F).4d"	"5G"	"6"	""	"3.284750"	""	"0.000004"	"  98                        :     1  3d3.(4F).4d  5H   "	"L18718,L11803"
"3d3.(4F).4d"	"3H"	"4"	""	"3.314771"	""	"0.000005"	"  90                        :     4  3d3.(2H).4d  3H   "	"L18718,L11803"
"3d3.(4F).4d"	"3G"	"3"	""	"3.321160"	""	"0.000003"	"  88                        :     6  3d3.(2G).4d  3G   "	"L18718,L11803"
"3d3.(4F).4d"	"3H"	"5"	""	"3.321185"	""	"0.000011"	"  90                        :     4  3d3.(2H).4d  3H   "	"L18718,L11803"
"3d3.(4F).4d"	"3P"	"2"	""	"3.323065"	""	"0.000003"	"  89                        :     5  3d3.(2P).4d  3P   "	"L18718,L11803"
"3d3.(4F).4d"	"3G"	"4"	""	"3.328357"	""	"0.000003"	"  86                        :     5  3d3.(2G).4d  3G   "	"L18718,L11803"
"3d3.(4F).4d"	"3H"	"6"	""	"3.328716"	""	"0.000003"	"  90                        :     4  3d3.(2H).4d  3H   "	"L18718,L11803"
"3d3.(4F).4d"	"3F"	"2"	""	"3.331191"	""	"0.000004"	"  84                        :     8  3d3.(2G).4d  3F   "	"L18718,L11803"
"3d3.(4F).4d"	"3F"	"3"	""	"3.335402"	""	"0.000003"	"  82                        :     8  3d3.(2G).4d  3F   "	"L18718,L11803"
"3d3.(4F).4d"	"3G"	"5"	""	"3.336646"	""	"0.000004"	"  88                        :     5  3d3.(2G).4d  3G   "	"L18718,L11803"
"3d3.(4F).4d"	"3F"	"4"	""	"3.340380"	""	"0.000003"	"  81                        :     9  3d3.(2G).4d  3F   "	"L18718,L11803"
"3d3.(4F).4d"	"5D"	"0"	""	"3.346441"	""	"0.000003"	"  83                        :    17  3d3.(4P).4d  5D   "	"L18718,L11803"
"3d3.(4F).4d"	"5D"	"1"	""	"3.3475896"	""	"0.0000018"	"  82                        :    17  3d3.(4P).4d  5D   "	"L18718,L11803"
"3d3.(4F).4d"	"5D"	"2"	""	"3.3498432"	""	"0.0000018"	"  82                        :    18  3d3.(4P).4d  5D   "	"L18718,L11803"
"3d3.(4F).4d"	"5D"	"3"	""	"3.3531447"	""	"0.0000018"	"  81                        :    18  3d3.(4P).4d  5D   "	"L18718,L11803"
