Configuration	Term	J	Prefix	Level (Ry)	Suffix	Uncertainty (Ry)	Leading percentages	Reference
"3p6.3d7"	"4F"	"9/2"	""	"0.000000"	""	""	" 100                                        "	"L10559"
"3p6.3d7"	"4F"	"7/2"	""	"0.014725"	""	""	" 100                                        "	""
"3p6.3d7"	"4F"	"5/2"	""	"0.025145"	""	""	" 100                                        "	""
"3p6.3d7"	"4F"	"3/2"	""	"0.032150"	""	""	"  99                                        "	""
"3p6.3d7"	"4P"	"5/2"	""	"0.189788"	""	""	"  99                                        "	""
"3p6.3d7"	"4P"	"3/2"	""	"0.191967"	""	""	"  89             :    10  3d7          2P   "	""
"3p6.3d7"	"4P"	"1/2"	""	"0.199887"	""	""	"  96             :     4  3d7          2P   "	""
"3p6.3d7"	"2G"	"9/2"	""	"0.205721"	""	""	"  96             :     3  3d7          2H   "	""
"3p6.3d7"	"2G"	"7/2"	""	"0.219614"	""	""	" 100                                        "	""
"3p6.3d7"	"2P"	"3/2"	""	"0.246187"	""	""	"  78             :    10  3d7          4P   "	""
"3p6.3d7"	"2P"	"1/2"	""	"0.258495"	""	""	"  96             :     4  3d7          4P   "	""
"3p6.3d7"	"2H"	"11/2"	""	"0.277041"	""	""	" 100                                        "	""
"3p6.3d7"	"2D2"	"5/2"	""	"0.282183"	""	""	"  76             :    23  3d7          2D1  "	""
"3p6.3d7"	"2H"	"9/2"	""	"0.289996"	""	""	"  97             :     3  3d7          2G   "	""
"3p6.3d7"	"2D2"	"3/2"	""	"0.303383"	""	""	"  70             :    17  3d7          2D1  "	""
"3p6.3d7"	"2F"	"5/2"	""	"0.450986"	""	""	" 100                                        "	""
"3p6.3d7"	"2F"	"7/2"	""	"0.456289"	""	""	" 100                                        "	""
"3p6.3d7"	"2D1"	"3/2"	""	"0.700201"	""	""	"  80             :    20  3d7          2D2  "	""
"3p6.3d7"	"2D1"	"5/2"	""	"0.707763"	""	""	"  77             :    23  3d7          2D2  "	""
"3d6.(5D).4s"	"6D"	"9/2"	""	"1.711172"	""	""	" 100                                        "	""
"3d6.(5D).4s"	"6D"	"7/2"	""	"1.720770"	""	""	" 100                                        "	""
