Configuration	Term	J	Level (Ry)	Uncertainty (Ry)	Lande	Leading percentages	Reference
"3d6.(5D).4s"	"a 6D"	"9/2"	" 0.000000000"	"0.0000"	"1.58"	" 100                                                                         "	"L18349,L18361c138"
"3d6.(5D).4s"	"a 6D"	"7/2"	" 0.003506439"	"0.000000003"	"1.58"	" 100                                                                         "	"L18349,L18361c138"
"3d6.(5D).4s"	"a 6D"	"5/2"	" 0.006084374"	"0.000000003"	"1.655"	" 100                                                                         "	"L18349,L18361c138"
"3d6.(5D).4s"	"a 6D"	"3/2"	" 0.007860697"	"0.000000004"	"1.862"	" 100                                                                         "	"L18349,L18361c138"
"3d6.(5D).4s"	"a 6D"	"1/2"	" 0.008903533"	"0.000000004"	"3.31"	" 100                                                                         "	"L18349,L18361c138"
"3d7"	"a 4F"	"9/2"	" 0.017064385"	"0.000000005"	"1.33"	" 100                                                                         "	"L18349,L18361c138"
"3d7"	"a 4F"	"7/2"	" 0.022145037"	"0.000000005"	"1.223"	" 100                                                                         "	"L18349,L18361c138"
"3d7"	"a 4F"	"5/2"	" 0.025861583"	"0.000000006"	"1.02"	" 100                                                                         "	"L18349,L18361c138"
"3d7"	"a 4F"	"3/2"	" 0.028408638"	"0.000000007"	"0.385"	" 100                                                                         "	"L18349,L18361c138"
"3d6.(5D).4s"	"a 4D"	"7/2"	" 0.072494197"	"0.000000006"	"1.419"	"  99                                                                         "	"L18349,L18361c138"
"3d6.(5D).4s"	"a 4D"	"5/2"	" 0.076473124"	"0.000000006"	"1.365"	"  99                                                                         "	"L18349,L18361c138"
"3d6.(5D).4s"	"a 4D"	"3/2"	" 0.079102268"	"0.000000006"	"1.200"	"  99                                                                         "	"L18349,L18361c138"
"3d6.(5D).4s"	"a 4D"	"1/2"	" 0.080617825"	"0.000000007"	"-0.05"	"  99                                                                         "	"L18349,L18361c138"
"3d7"	"a 4P"	"5/2"	" 0.122788199"	"0.000000008"	"1.609"	"  98                                                                         "	"L18349,L18361c138"
"3d7"	"a 4P"	"3/2"	" 0.124599407"	"0.000000009"	"1.737"	"  96                                  :     2  3d7                     2P    "	"L18349,L18361c138"
"3d7"	"a 4P"	"1/2"	" 0.126710411"	"0.000000011"	"2.67"	"  98                                                                         "	"L18349,L18361c138"
"3d7"	"a 2G"	"9/2"	" 0.144387061"	"0.000000011"	""	"  98                                                                         "	"L18349,L18361c138"
"3d7"	"a 2G"	"7/2"	" 0.149169038"	"0.000000012"	""	" 100                                                                         "	"L18349,L18361c138"
"3d7"	"a 2P"	"3/2"	" 0.167314462"	"0.000000015"	"1.28"	"  90                                  :     6  3d7                     2D2   "	"L18349,L18361c138"
"3d7"	"a 2P"	"1/2"	" 0.172108939"	"0.000000018"	""	"  98                                                                         "	"L18349,L18361c138"
"3d7"	"a 2H"	"11/2"	" 0.185353961"	"0.000000012"	""	"  99                                                                         "	"L18349,L18361c138"
"3d7"	"a 2D2"	"5/2"	" 0.186964236"	"0.000000015"	"1.22"	"  74                                  :    23  3d7                     2D1   "	"L18349,L18361c138"
"3d7"	"a 2H"	"9/2"	" 0.189596065"	"0.000000013"	"0.92"	"  98                                                                         "	"L18349,L18361c138"
"3d6.(3P2).4s"	"b 4P"	"5/2"	" 0.189821970"	"0.000000010"	"1.583"	"  60                                  :    37  3d6.(3P1).4s            4P    "	"L18349,L18361c138"
"3d6.(3H).4s"	"a 4H"	"13/2"	" 0.193658676"	"0.000000010"	"1.20"	" 100                                                                         "	"L18349,L18361c138"
"3d7"	"a 2D2"	"3/2"	" 0.194172774"	"0.000000018"	""	"  72                                  :    20  3d7                     2D1   "	"L18349,L18361c138"
"3d6.(3H).4s"	"a 4H"	"11/2"	" 0.195287777"	"0.000000009"	"1.119"	"  99                                                                         "	"L18349,L18361c138"
