Configuration	Term	J	Level (Ry)	Uncertainty (Ry)	Reference
"1s.6g"	"3G"	"4"	"[1.779364857520]"	"0.000000000004"	"L8948"
"1s.6g"	"3G"	"5"	"[1.779364872117]"	"0.000000000004"	"L8948"
"1s.6g"	"3G"	"3"	"[1.779364885399]"	"0.000000000004"	"L8948"
	term		"1.779364871"		
"1s.6g"	"1G"	"4"	"[1.779364894353]"	"0.000000000004"	"L8948"
	term		"1.779364894"		
"1s.6h"	"3H*"	"5"	"[1.779365495120]"	"0.000000000004"	"L8948"
"1s.6h"	"3H*"	"6"	"[1.779365504636]"	"0.000000000004"	"L8948"
"1s.6h"	"3H*"	"4"	"[1.779365513272]"	"0.000000000004"	"L8948"
	term		"1.779365504"		
"1s.6h"	"1H*"	"5"	"[1.779365519717]"	"0.000000000004"	"L8948"
	term		"1.779365520"		
"1s.6p"	"1P*"	"1"	"[1.779475898906]"	"0.000000000021"	"L8948"
	term		"1.779475899"		
"1s.7s"	"3S"	"1"	"[1.78488270611]"	"0.00000000003"	"L8948"
	term		"1.784882706"		
"1s.7s"	"1S"	"0"	"[1.78589109790]"	"0.00000000003"	"L8948"
	term		"1.785891098"		
"1s.7p"	"3P*"	"2"	"[1.786332331980]"	"0.000000000012"	"L8948"
"1s.7p"	"3P*"	"1"	"[1.786332346688]"	"0.000000000012"	"L8948"
"1s.7p"	"3P*"	"0"	"[1.786332527339]"	"0.000000000012"	"L8948"
	term		"1.786332359"		
"1s.7d"	"3D"	"3"	"[1.786718324493]"	"0.000000000004"	"L8948"
"1s.7d"	"3D"	"2"	"[1.786718326689]"	"0.000000000004"	"L8948"
"1s.7d"	"3D"	"1"	"[1.786718358034]"	"0.000000000004"	"L8948"
	term		"1.786718332"		
"1s.7d"	"1D"	"2"	"[1.786722475993]"	"0.000000000004"	"L8948"
	term		"1.786722476"		
"1s.7f"	"3F*"	"3"	"[1.786732024199]"	"0.000000000004"	"L8948"
"1s.7f"	"3F*"	"4"	"[1.786732032815]"	"0.000000000004"	"L8948"
"1s.7f"	"3F*"	"2"	"[1.786732047455]"	"0.000000000004"	"L8948"
