ritz_wl_vac(A)	unc_ritz_wl	intens	Aki(s^-1)	fik	Acc	Ei(Ry)	Ek(Ry)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"2926.47288"	"0.00018"	"160"	"5.6e+07"	"7.2e-02"	D	"2.247163410"	"2.558550902"	"2s2.2p4.(3P).3p"	"4P*"	"1/2"	"2s2.2p4.(3P).3d"	"4P"	"1/2"		"T380"	"L5951"	
"2934.57090"	"0.00017"	"80"	"6.9e+06"	"8.9e-03"	D	"2.243470341"	"2.553998552"	"2s2.2p4.(3P).3p"	"4P*"	"5/2"	"2s2.2p4.(3P).3d"	"2D"	"5/2"		"T380"	"L1406"	
"2935.14188"	"0.00017"	""	"5.2e+06"	"9.0e-03"	D	"2.243470341"	"2.553938144"	"2s2.2p4.(3P).3p"	"4P*"	"5/2"	"2s2.2p4.(3P).3d"	"2F"	"7/2"		"T380"	""	
"2936.12111"	"0.00017"	"12"	"3.2e+06"	"4.1e-03"	D	"2.245498834"	"2.555863092"	"2s2.2p4.(3P).3p"	"4P*"	"3/2"	"2s2.2p4.(3P).3d"	"2D"	"3/2"		"T380"	"L1406"	
"2951.95331"	"0.00018"	"22"	"2.3e+06"	"6.0e-03"	D	"2.247163410"	"2.555863092"	"2s2.2p4.(3P).3p"	"4P*"	"1/2"	"2s2.2p4.(3P).3d"	"2D"	"3/2"		"T380"	"L1406"	
"2953.86673"	"0.00013"	"12"	"1.2e+06"	"2.4e-03"	D	"2.245498834"	"2.553998552"	"2s2.2p4.(3P).3p"	"4P*"	"3/2"	"2s2.2p4.(3P).3d"	"2D"	"5/2"		"T380"	"L1406"	
"2956.58909"	"0.00011"	"300"	"1.2e+08"	"1.0e-01"	D	"1.996866422"	"2.305082079"	"2s2.2p4.(3P).3s"	"4P"	"5/2"	"2s2.2p4.(3P).3p"	"4S*"	"3/2"		"T867LS"	"L5951"	
"3002.54360"	"0.00012"	"300"	"8.7e+07"	"1.2e-01"	D	"2.001583722"	"2.305082079"	"2s2.2p4.(3P).3s"	"4P"	"3/2"	"2s2.2p4.(3P).3p"	"4S*"	"3/2"		"T867LS"	"L5951"	
"3016.58756"	"0.00018"	""	"1.3e+06"	"8.9e-04"	D	"2.001583722"	"2.303669120"	"2s2.2p4.(3P).3s"	"4P"	"3/2"	"2s2.2p4.(3P).3p"	"2S*"	"1/2"		"T380"	""	
"3018.18818"	"0.00018"	"240bl"	"3.5e+07"	"3.2e-02"	D	"2.243470341"	"2.545395534"	"2s2.2p4.(3P).3p"	"4P*"	"5/2"	"2s2.2p4.(3P).3d"	"4D"	"3/2"		"T380"	"L5951"	
"3027.89644"	"0.00014"	"200"	"1.4e+08"	"1.9e-01"	D	"2.243470341"	"2.544427480"	"2s2.2p4.(3P).3p"	"4P*"	"5/2"	"2s2.2p4.(3P).3d"	"4D"	"5/2"		"T380"	"L5951"	
"3029.5819"	"0.0003"	"180"	"8.5e+07"	"5.8e-02"	D	"2.245498834"	"2.54628854"	"2s2.2p4.(3P).3p"	"4P*"	"3/2"	"2s2.2p4.(3P).3d"	"4D"	"1/2"		"T380"	"L5951"	
"3029.74533"	"0.00012"	"240"	"4.7e+07"	"1.3e-01"	D	"2.004308598"	"2.305082079"	"2s2.2p4.(3P).3s"	"4P"	"1/2"	"2s2.2p4.(3P).3p"	"4S*"	"3/2"		"T867LS"	"L5951"	
"3035.34425"	"0.00018"	"240"	"3.1e+08"	"5.7e-01"	D	"2.243470341"	"2.543689023"	"2s2.2p4.(3P).3p"	"4P*"	"5/2"	"2s2.2p4.(3P).3d"	"4D"	"7/2"		"T380"	"L5951"	
"3038.60312"	"0.00014"	"200"	"2.1e+08"	"2.9e-01"	D	"2.245498834"	"2.545395534"	"2s2.2p4.(3P).3p"	"4P*"	"3/2"	"2s2.2p4.(3P).3d"	"4D"	"3/2"		"T380"	"L5951"	
"3046.4410"	"0.0003"	"200"	"2.5e+08"	"3.5e-01"	D	"2.247163410"	"2.54628854"	"2s2.2p4.(3P).3p"	"4P*"	"1/2"	"2s2.2p4.(3P).3d"	"4D"	"1/2"		"T380"	"L1406"	
"3048.44337"	"0.00013"	"240"	"1.8e+08"	"3.8e-01"	D	"2.245498834"	"2.544427480"	"2s2.2p4.(3P).3p"	"4P*"	"3/2"	"2s2.2p4.(3P).3d"	"4D"	"5/2"		"T380"	"L5951"	
"3055.56302"	"0.00014"	"200"	"9.4e+07"	"2.6e-01"	D	"2.247163410"	"2.545395534"	"2s2.2p4.(3P).3p"	"4P*"	"1/2"	"2s2.2p4.(3P).3d"	"4D"	"3/2"		"T380"	"L5951"	
"3093.7999"	"0.0003"	"240"	"1.3e+08"	"1.9e-01"	D	"2.500193830"	"2.79474005"	"2s2.2p4.(1D).3p"	"2F*"	"5/2"	"2s2.2p4.(1D).3d"	"2F"	"5/2"		"T8043"	"L5951"	
"3098.03058"	"0.00020"	"200"	"1.3e+08"	"1.9e-01"	D	"2.500599557"	"2.79474354"	"2s2.2p4.(1D).3p"	"2F*"	"7/2"	"2s2.2p4.(1D).3d"	"2F"	"7/2"		"T8043"	"L5951"	
"3098.43937"	"0.00020"	"80"	"1.5e+06"	"1.4e-03"	D	"2.273118872"	"2.567224045"	"2s2.2p4.(3P).3p"	"4D*"	"5/2"	"2s2.2p4.(3P).3d"	"2P"	"3/2"		"T380"	"L1406"	
"3118.88476"	"0.00014"	"200"	"4.2e+06"	"4.6e-03"	D	"2.270044718"	"2.562221928"	"2s2.2p4.(3P).3p"	"4D*"	"7/2"	"2s2.2p4.(3P).3d"	"4P"	"5/2"		"T380"	"L5951"	
"3133.09525"	"0.00020"	"180"	"2.2e+06"	"2.4e-03"	D	"2.270044718"	"2.560896727"	"2s2.2p4.(3P).3p"	"4D*"	"7/2"	"2s2.2p4.(3P).3d"	"2F"	"5/2"		"T380"	"L1406"	
"3134.9736"	"0.0003"	"80"	"2.6e+07"	"2.6e-02"	D	"2.500193830"	"2.79087157"	"2s2.2p4.(1D).3p"	"2F*"	"5/2"	"2s2.2p4.(1D).3d"	"2D"	"3/2"		"T8043"	"L1406"	
"3136.69823"	"0.00020"	""	"2.0e+06"	"5.9e-03"	D	"2.276706124"	"2.567224045"	"2s2.2p4.(3P).3p"	"4D*"	"1/2"	"2s2.2p4.(3P).3d"	"2P"	"3/2"		"T380"	""	
"3136.72447"	"0.00015"	"160"	"6.5e+05"	"9.6e-04"	D	"1.996866422"	"2.287381913"	"2s2.2p4.(3P).3s"	"4P"	"5/2"	"2s2.2p4.(3P).3p"	"2D*"	"5/2"		"T380"	"L1406"	
"3137.38562"	"0.00015"	"100"	"4.9e+05"	"7.2e-04"	D	"2.001583722"	"2.292037992"	"2s2.2p4.(3P).3s"	"4P"	"3/2"	"2s2.2p4.(3P).3p"	"2D*"	"3/2"		"T380"	"L1406"	
"3141.26343"	"0.00020"	"100"	"2.4e+07"	"2.7e-02"	D	"2.500599557"	"2.790695269"	"2s2.2p4.(1D).3p"	"2F*"	"7/2"	"2s2.2p4.(1D).3d"	"2D"	"5/2"		"T8043"	"L1406"	
"3152.04917"	"0.00014"	"180"	"4.8e+06"	"7.1e-03"	D	"2.273118872"	"2.562221928"	"2s2.2p4.(3P).3p"	"4D*"	"5/2"	"2s2.2p4.(3P).3d"	"4P"	"5/2"		"T380"	"L5951"	
"3155.70651"	"0.00020"	"140"	"1.8e+06"	"2.0e-03"	D	"2.270044718"	"2.558812715"	"2s2.2p4.(3P).3p"	"4D*"	"7/2"	"2s2.2p4.(3P).3d"	"4F"	"5/2"		"T380"	"L1406"	
"3160.85437"	"0.00020"	"60"	"1.9e+06"	"1.4e-03"	D	"2.275392865"	"2.56369057"	"2s2.2p4.(3P).3p"	"4D*"	"3/2"	"2s2.2p4.(3P).3d"	"2P"	"1/2"		"T380"	"L1406"	
"3165.34541"	"0.00021"	"200"	"1.6e+07"	"2.4e-02"	D	"2.270044718"	"2.557933378"	"2s2.2p4.(3P).3p"	"4D*"	"7/2"	"2s2.2p4.(3P).3d"	"4F"	"7/2"		"T380"	"L5951"	
"3166.56418"	"0.00015"	"200"	"1.2e+07"	"1.8e-02"	D	"2.273118872"	"2.560896727"	"2s2.2p4.(3P).3p"	"4D*"	"5/2"	"2s2.2p4.(3P).3d"	"2F"	"5/2"		"T380"	"L5951"	
