Configuration	Term	J	Prefix	Level (Ry)	Suffix	Uncertainty (Ry)	Leading percentages	Reference
"3p6.3d7.(4F).4p"	"5G*"	"3"	""	"1.781929"	""	""	"  81             :     9  3d7.(4F).4p  5F*  "	""
"3p6.3d7.(4F).4p"	"5D*"	"1"	""	"1.783207"	""	""	"  85             :    10  3d7.(4P).4p  5D*  "	""
"3p6.3d7.(4F).4p"	"5G*"	"2"	""	"1.784507"	""	""	"  85             :     6  3d7.(4F).4p  5F*  "	""
"3p6.3d7.(4F).4p"	"5D*"	"0"	""	"1.785464"	""	""	"  89             :    11  3d7.(4P).4p  5D*  "	""
"3p6.3d7.(2D1).4s"	"3D"	"1"	""	"1.793861"	""	""	"  81             :    19  3d7.(2D2).4s 3D   "	""
"3p6.3d7.(2D1).4s"	"3D"	"2"	""	"1.796458"	""	""	"  79             :    20  3d7.(2D2).4s 3D   "	""
"3p6.3d7.(4F).4p"	"3G*"	"5"	""	"1.798158"	""	""	"  82             :    18  3d7.(4F).4p  5G*  "	""
"3p6.3d7.(2D1).4s"	"3D"	"3"	""	"1.801206"	""	""	"  77             :    23  3d7.(2D2).4s 3D   "	""
"3p6.3d7.(4F).4p"	"3F*"	"4"	""	"1.805942"	""	""	"  89             :     4  3d7.(4F).4p  3G*  "	""
"3p6.3d7.(4F).4p"	"3G*"	"4"	""	"1.815265"	""	""	"  87             :    10  3d7.(4F).4p  5G*  "	""
"3p6.3d7.(4F).4p"	"3F*"	"3"	""	"1.818878"	""	""	"  84             :     5  3d7.(4F).4p  3D*  "	""
"3p6.3d7.(4F).4p"	"3G*"	"3"	""	"1.826932"	""	""	"  93             :     4  3d7.(4F).4p  5G*  "	""
"3p6.3d7.(4F).4p"	"3F*"	"2"	""	"1.829095"	""	""	"  89             :     5  3d7.(2G).4p  3F*  "	""
"3p6.3d7.(4F).4p"	"3D*"	"3"	""	"1.833569"	""	""	"  87             :     6  3d7.(4F).4p  3F*  "	""
"3p6.3d7.(2D1).4s"	"1D"	"2"	""	"1.838673"	""	""	"  78             :    21  3d7.(2D2).4s 1D   "	""
"3p6.3d7.(4F).4p"	"3D*"	"2"	""	"1.844045"	""	""	"  89             :     3  3d7.(4F).4p  3F*  "	""
"3p6.3d7.(4F).4p"	"3D*"	"1"	""	"1.851143"	""	""	"  91             :     3  3d7.(4P).4p  3D*  "	""
"3p6.3d7.(4P).4p"	"5S*"	"2"	""	"1.857790"	""	""	"  98             :     1  3d7.(2P).4p  3P*  "	""
"3p6.3d7.(4P).4p"	"5D*"	"1"	""	"1.944283"	""	""	"  44             :    18  3d7.(2P).4p  3P*  "	""
"3p6.3d7.(4P).4p"	"5D*"	"2"	""	"1.945870"	""	""	"  74             :     9  3d7.(4F).4p  5D*  "	""
"3p6.3d7.(4P).4p"	"5D*"	"3"	""	"1.947058"	""	""	"  78             :     8  3d7.(4F).4p  5D*  "	""
"3p6.3d7.(4P).4p"	"5D*"	"0"	""	"1.949493"	""	""	"  78             :    11  3d7.(2P).4p  3P*  "	""
"3p6.3d7.(4P).4p"	"5D*"	"4"	""	"1.953016"	""	""	"  88             :     6  3d7.(4F).4p  5D*  "	""
"3p6.3d7.(4P).4p"	"*"	"1"	""	"1.953879"	""	""	"  37  5D*        :    32  3d7.(4P).4p  3S*  "	""
"3p6.3d7.(2G).4p"	"3H*"	"5"	""	"1.957723"	""	""	"  67             :    17  3d7.(2G).4p  1H*  "	""
