Configuration	Term	J	Prefix	Level (Ry)	Suffix	Uncertainty (Ry)	Leading percentages	Reference
"2s2.2p5"	"2P*"	"3/2"	""	"0.00000"	""	""	"                                           "	"L5815"
"2s2.2p5"	"2P*"	"1/2"	""	"0.0464"	""	""	"                                           "	""
"2s.2p6"	"2S"	"1/2"	""	"3.70427"	""	""	"                                           "	""
"2s2.2p4.(3P).3s"	"4P"	"5/2"	""	"9.02625"	""	""	"                                           "	""
"2s2.2p4.(3P).3s"	"4P"	"3/2"	""	"9.0547"	""	""	"                                           "	""
"2s2.2p4.(3P).3s"	"4P"	"1/2"	""	"9.0714"	""	""	"                                           "	""
"2s2.2p4.(3P).3s"	"2P"	"3/2"	""	"9.1622"	""	""	"                                           "	""
"2s2.2p4.(3P).3s"	"2P"	"1/2"	""	"9.19576"	""	""	"                                           "	""
"2s2.2p4.(1D).3s"	"2D"	"5/2"	""	"9.49008"	""	""	"                                           "	""
"2s2.2p4.(1D).3s"	"2D"	"3/2"	""	"9.49059"	""	""	"                                           "	""
"2s2.2p4.(3P).3p"	"4P*"	"5/2"	""	"9.73974"	""	""	"  98                                       "	""
"2s2.2p4.(3P).3p"	"4P*"	"3/2"	""	"9.74923"	""	""	"  97                                       "	""
"2s2.2p4.(3P).3p"	"4P*"	"1/2"	""	"9.76085"	""	""	"  99                                       "	""
"2s2.2p4.(3P).3p"	"4D*"	"7/2"	""	"9.83198"	""	""	" 100                                       "	""
"2s2.2p4.(3P).3p"	"4D*"	"5/2"	""	"9.848"	""	""	"  91         :     7  2s2.2p4.(3P).3p 2D*  "	""
"2s2.2p4.(3P).3p"	"4D*"	"3/2"	""	"9.86187"	""	""	"  96                                       "	""
"2s2.2p4.(3P).3p"	"4D*"	"1/2"	""	"9.86905"	""	""	"  99                                       "	""
"2s2.2p4.(3P).3p"	"2D*"	"5/2"	""	"9.90361"	""	""	"  92         :     7  2s2.2p4.(3P).3p 4D*  "	""
"2s2.2p4.(3P).3p"	"2D*"	"3/2"	""	"9.92868"	""	""	"  71         :    19  2s2.2p4.(3P).3p 2P*  "	""
"2s2.2p4.(3P).3p"	"2P*"	"3/2"	""	"9.95259"	""	""	"  47         :    26  2s2.2p4.(3P).3p 2D*  "	""
"2s2.2p4.(3P).3p"	"4S*"	"3/2"	""	"9.96700"	""	""	"  97                                       "	""
"2s2.2p4.(1S).3s"	"2S"	"1/2"	""	"9.97335"	""	""	"                                           "	""
"2s2.2p4.(1D).3p"	"2F*"	"5/2"	""	"10.2384"	""	""	"  99                                       "	""
"2s2.2p4.(1D).3p"	"2F*"	"7/2"	""	"10.24464"	""	""	" 100                                       "	""
"2s2.2p4.(1D).3p"	"2D*"	"3/2"	""	"10.33451"	""	""	"  99                                       "	""
"2s2.2p4.(1D).3p"	"2D*"	"5/2"	""	"10.33829"	""	""	"  99                                       "	""
"2s2.2p4.(1D).3p"	"2P*"	"3/2"	""	"10.46044"	""	""	"  68         :    32  2s2.2p4.(3P).3p 2P*  "	""
