Configuration	Term	J	Level (Ry)	Uncertainty (Ry)	Leading percentages	Reference
"3d5.(2I).4s"	"3I"	"5"	" 0.7277447"	"0.0000008"	"  99                                                        "	"L11223"
"3d5.(6S).4p"	"7P*"	"2"	" 0.7472583"	"0.0000013"	" 100                                                        "	"L11223"
"3d5.(6S).4p"	"7P*"	"3"	" 0.7502865"	"0.0000013"	"  99                                                        "	"L11223"
"3d5.(a 2D).4s"	"3D"	"3"	" 0.7507299"	"0.0000008"	"  58                           :    18  3d5.(c 2D).4s  3D   "	"L11223"
"3d5.(a 2D).4s"	"3D"	"2"	" 0.7509857"	"0.0000008"	"  54                           :    17  3d5.(c 2D).4s  3D   "	"L11223"
"3d5.(a 2D).4s"	"3D"	"1"	" 0.7517511"	"0.0000008"	"  51                           :    32  3d5.(4F).4s    5F   "	"L11223"
"3d5.(6S).4p"	"7P*"	"4"	" 0.7549573"	"0.0000016"	" 100                                                        "	"L11223"
"3d5.(4F).4s"	"5F"	"5"	" 0.7576152"	"0.0000008"	"  99                                                        "	"L11223"
"3d5.(4F).4s"	"5F"	"4"	" 0.7578261"	"0.0000008"	"  98                                                        "	"L11223"
"3d5.(4F).4s"	"5F"	"3"	" 0.7585222"	"0.0000008"	"  91                           :     6  3d5.(a 2F).4s  3F   "	"L11223"
"3d5.(4F).4s"	"5F"	"2"	" 0.7596249"	"0.0000008"	"  78                           :    14  3d5.(a 2F).4s  3F   "	"L11223"
"3d5.(2I).4s"	"1I"	"6"	" 0.7602688"	"0.0000009"	"  99                                                        "	"L11223"
"3d5.(4F).4s"	"5F"	"1"	" 0.7622499"	"0.0000008"	"  67                           :    25  3d5.(a 2D).4s  3D   "	"L11223"
"3d5.(a 2F).4s"	"3F"	"4"	" 0.7669203"	"0.0000008"	"  97                                                        "	"L11223"
"3d5.(a 2F).4s"	"3F"	"2"	" 0.7688374"	"0.0000008"	"  62                           :    17  3d5.(a 2D).4s  3D   "	"L11223"
"3d5.(a 2F).4s"	"3F"	"3"	" 0.7715888"	"0.0000008"	"  77                           :    14  3d5.(a 2D).4s  3D   "	"L11223"
"3d5.(a 2D).4s"	"1D"	"2"	" 0.7914095"	"0.0000008"	"  66                           :    20  3d5.(c 2D).4s  1D   "	"L11223"
"3d5.(a 2F).4s"	"1F"	"3"	" 0.8010225"	"0.0000008"	"  93                                                        "	"L11223"
"3d5.(2H).4s"	"3H"	"4"	" 0.8079665"	"0.0000008"	"  87                           :    11  3d5.(a 2G).4s  3G   "	"L11223"
"3d5.(2H).4s"	"3H"	"5"	" 0.8082470"	"0.0000008"	"  86                           :    14  3d5.(a 2G).4s  3G   "	"L11223"
