Configuration	Term	J	Level (Ry)	Uncertainty (Ry)	Lande	Leading percentages	Reference
"3p6"	"1S"	"0"	" 0.000000"	"0.000003"	""	" 100                                    "	"L12392"
"3p5.4s"	"3P*"	"2"	" 1.4808336"	"0.0000009"	"1.48"	"  95                                    "	"L12188"
"3p5.4s"	"3P*"	"1"	" 1.4874813"	"0.0000009"	"1.47"	"  68         :    21  3p5.3d 3P*        "	"L12188"
"3p5.3d"	"3P*"	"0"	" 1.4893029"	"0.0000009"	""	"  77         :    22  3p5.4s 3P*        "	"L12188"
"3p5.3d"	"3P*"	"1"	" 1.4989614"	"0.0000009"	"1.38"	"  76         :    14  3p5.4s 3P*        "	"L12188"
"3p5.3d"	"3P*"	"2"	" 1.5029336"	"0.0000009"	"1.47"	"  94                                    "	"L12188"
"3p5.4s"	"3P*"	"0"	" 1.5049156"	"0.0000018"	""	"  78         :    22  3p5.3d 3P*        "	"L12188"
"3p5.4s"	"1P*"	"1"	" 1.5168705"	"0.0000009"	"1.07"	"  81         :    18  3p5.4s 3P*        "	"L12188"
"3p5.3d"	"3F*"	"4"	" 1.5496023"	"0.0000009"	"(1.25)"	" 100                                    "	"L12188"
"3p5.3d"	"3F*"	"3"	" 1.5567275"	"0.0000009"	"1.09"	"  98                                    "	"L12188"
"3p5.3d"	"3F*"	"2"	" 1.5630289"	"0.0000009"	"1.36"	"  98                                    "	"L12188"
"3p5.3d"	"1D*"	"2"	" 1.6343502"	"0.0000009"	"(1.07)"	"  56         :    42  3p5.3d 3D*        "	"L12188"
"3p5.3d"	"3D*"	"3"	" 1.6347748"	"0.0000009"	"(1.20)"	"  60         :    40  3p5.3d 1F*        "	"L12188"
"3p5.3d"	"3D*"	"2"	" 1.6438592"	"0.0000009"	"(1.10)"	"  57         :    43  3p5.3d 1D*        "	"L12188"
"3p5.3d"	"3D*"	"1"	" 1.6443714"	"0.0000009"	"(0.50)"	" 100                                    "	"L12188"
"3p5.3d"	"1F*"	"3"	" 1.6459187"	"0.0000009"	"(1.13)"	"  59         :    39  3p5.3d 3D*        "	"L12188"
"3p5.4p"	"3S"	"1"	" 1.6694786"	"0.0000009"	"1.96"	"  97                                    "	"L12188"
"3p5.4p"	"3D"	"3"	" 1.6984542"	"0.0000009"	"1.35"	" 100                                    "	"L12188"
"3p5.4p"	"3D"	"2"	" 1.7011661"	"0.0000009"	"1.11"	"  75         :    23  3p5.4p 1D         "	"L12188"
"3p5.4p"	"3D"	"1"	" 1.7088718"	"0.0000009"	"0.72"	"  77         :    14  3p5.4p 1P         "	"L12188"
"3p5.4p"	"1D"	"2"	" 1.7145517"	"0.0000009"	"1.19"	"  52         :    40  3p5.4p 3P         "	"L12188"
"3p5.4p"	"1P"	"1"	" 1.7244772"	"0.0000009"	"0.95"	"  53         :    24  3p5.4p 3P         "	"L12188"
"3p5.4p"	"3P"	"2"	" 1.7282854"	"0.0000009"	"1.31"	"  57         :    26  3p5.4p 1D         "	"L12188"
"3p5.4p"	"3P"	"0"	" 1.7292933"	"0.0000009"	""	"  97                                    "	"L12188"
"3p5.4p"	"3P"	"1"	" 1.7325984"	"0.0000009"	"1.38"	"  66         :    32  3p5.4p 1P         "	"L12188"
"3p5.4p"	"1S"	"0"	" 1.7748949"	"0.0000009"	""	"  93         :     3  3p5.4p 3P         "	"L12188"
"3p5.3d"	"1P*"	"1"	" 1.8403731"	"0.0000018"	"(1.00)"	"  54         :    42  3p5.4d 1P*        "	"L12188"
