ritz_wl_vac(A)	intens	Aki(s^-1)	fik	Acc	Ei(Ry)	Ek(Ry)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"1380.763"	""	"4.90e+07"	"2.80e-02"	B	"6.140903"	"[6.800876]"	"1s2.5s"	"2S"	"1/2"	"1s2.8p"	"2P*"	"3/2"		"T5118LS"	""	
"1380.838"	""	"4.89e+07"	"1.40e-02"	B	"6.140903"	"[6.800841]"	"1s2.5s"	"2S"	"1/2"	"1s2.8p"	"2P*"	"1/2"		"T5118LS"	""	
"1389.512"	""	"3.03e+08"	"1.75e-01"	B	"5.525457"	"6.181275"	"1s2.4s"	"2S"	"1/2"	"1s2.5p"	"2P*"	"3/2"		"T5118LS"	""	
"1389.823"	""	"3.03e+08"	"8.77e-02"	B	"5.525457"	"6.181128"	"1s2.4s"	"2S"	"1/2"	"1s2.5p"	"2P*"	"1/2"		"T5118LS"	""	
"1463.098"	""	"9.82e+07"	"6.30e-02"	A	"6.181128"	"[6.803962]"	"1s2.5p"	"2P*"	"1/2"	"1s2.8d"	"2D"	"3/2"		"T5118LS"	""	
"1463.417"	""	"1.18e+08"	"5.68e-02"	A	"6.181275"	"[6.803973]"	"1s2.5p"	"2P*"	"3/2"	"1s2.8d"	"2D"	"5/2"		"T5118LS"	""	
"1463.443"	""	"1.96e+07"	"6.29e-03"	A	"6.181275"	"[6.803962]"	"1s2.5p"	"2P*"	"3/2"	"1s2.8d"	"2D"	"3/2"		"T5118LS"	""	
"1493.536"	""	"3.64e+07"	"1.22e-02"	B+	"6.181128"	"[6.791269]"	"1s2.5p"	"2P*"	"1/2"	"1s2.8s"	"2S"	"1/2"		"T5118LS"	""	
"1493.895"	""	"7.28e+07"	"1.22e-02"	B+	"6.181275"	"[6.791269]"	"1s2.5p"	"2P*"	"3/2"	"1s2.8s"	"2S"	"1/2"		"T5118LS"	""	
"1501.565"	""	"2.61e+06"	"8.82e-04"	B+	"[6.193998]"	"[6.800876]"	"1s2.5d"	"2D"	"3/2"	"1s2.8p"	"2P*"	"3/2"		"T5118LS"	""	
