Configuration	Term	J	Level (Ry)	Uncertainty (Ry)	Lande	Leading percentages	Reference
"3d3.4s2"	"a 4F"	"3/2"	" 0.000000000"	"0.000000018"	"0.39848"	"  92         :     5  3d3.(4F).4p2.(1S)     4F   "	"L20010,L193"
"3d3.4s2"	"a 4F"	"5/2"	" 0.001251926"	"0.000000013"	"1.02839"	"  94         :     5  3d3.(4F).4p2.(1S)     4F   "	"L15916,L20010,L193"
"3d3.4s2"	"a 4F"	"7/2"	" 0.002947329"	"0.000000012"	"1.23821"	"  92         :     5  3d3.(4F).4p2.(1S)     4F   "	"L15916,L20010,L193"
"3d3.4s2"	"a 4F"	"9/2"	" 0.005038897"	"0.000000018"	"1.33360"	"  94         :     5  3d3.(4F).4p2.(1S)     4F   "	"L15916,L20010,L193"
"3d4.(5D).4s"	"a 6D"	"1/2"	" 0.019248530"	"0.000000018"	"3.33847"	"  98                                             "	"L15916,L20010,L193"
"3d4.(5D).4s"	"a 6D"	"3/2"	" 0.019621593"	"0.000000018"	"1.86829"	"  98                                             "	"L15916,L20010,L193"
"3d4.(5D).4s"	"a 6D"	"5/2"	" 0.020231550"	"0.000000018"	"1.65831"	"  10                                             "	"L15916,L20010,L193"
"3d4.(5D).4s"	"a 6D"	"7/2"	" 0.021062744"	"0.000000018"	"1.58833"	"  10                                             "	"L15916,L20010,L193"
"3d4.(5D).4s"	"a 6D"	"9/2"	" 0.022096485"	"0.000000018"	"1.55647"	"  98                                             "	"L15916,L20010,L193"
"3d4.(5D).4s"	"a 4D"	"1/2"	" 0.076664979"	"0.000000018"	"0.00"	"  94                                             "	"L15916,L20010,L14162"
"3d4.(5D).4s"	"a 4D"	"3/2"	" 0.077241128"	"0.000000012"	"1.19"	"  94                                             "	"L15916,L20010,L14162"
"3d4.(5D).4s"	"a 4D"	"5/2"	" 0.078173427"	"0.000000013"	"1.35"	"  94                                             "	"L15916,L20010,L14162"
"3d4.(5D).4s"	"a 4D"	"7/2"	" 0.079423731"	"0.000000018"	"1.39"	"  94                                             "	"L15916,L20010,L14162"
"3d3.4s2"	"a 4P"	"1/2"	" 0.086977114"	"0.000000018"	"2.59"	"  77         :    16  3d4.(3P2).4s          4P   "	"L15916,L20010,L14162"
"3d3.4s2"	"a 4P"	"3/2"	" 0.087819161"	"0.000000018"	"1.70"	"  76         :    16  3d4.(3P2).4s          4P   "	"L15916,L20010,L14162"
"3d3.4s2"	"a 4P"	"5/2"	" 0.089528580"	"0.000000018"	"1.55"	"  79         :    15  3d4.(3P2).4s          4P   "	"L15916,L20010,L14162"
"3d3.4s2"	"a 2G"	"7/2"	" 0.09925995"	"0.00000003"	"0.88"	"  92         :     5  3d3.(2G).4p2.(1S)     2G   "	"L15916,L20010,L14162"
"3d3.4s2"	"a 2G"	"9/2"	" 0.101156074"	"0.000000018"	"1.13"	"  90         :     5  3d3.(2G).4p2.(1S)     2G   "	"L15916,L20010,L14162"
"3d3.4s2"	"a 2P"	"3/2"	" 0.12576899"	"0.00000005"	"1.20"	"  58         :    24  3d3.4s2               2D2  "	"L15916,L20010,L14162"
"3d3.4s2"	"a 2P"	"1/2"	" 0.12585427"	"0.00000003"	"0.64"	"  79         :    13  3d4.(3P2).4s          2P   "	"L15916,L20010,L14162"
"3d3.4s2"	"2D2"	"3/2"	" 0.13226819"	"0.00000004"	"0.97"	"  63         :    21  3d3.4s2               2P   "	"L15916,L20010,L14162"
"3d3.4s2"	"2D2"	"5/2"	" 0.13257857"	"0.00000003"	"1.17"	"  86         :     3  3d4.(3D).4s           2D   "	"L15916,L20010,L14162"
"3d4.(3H).4s"	"a 4H"	"7/2"	" 0.135869535"	"0.000000018"	"0.65"	"  96                                             "	"L15916,L20010,L14162"
"3d4.(3H).4s"	"a 4H"	"9/2"	" 0.136228583"	"0.000000018"	"0.94"	"  94         :     1  3d3.4s2               2H   "	"L15916,L20010,L14162"
"3d4.(3H).4s"	"a 4H"	"11/2"	" 0.136698596"	"0.000000014"	"1.10"	"  90         :     4  3d3.4s2               2H   "	"L15916,L20010,L14162"
"3d4.(3H).4s"	"a 4H"	"13/2"	" 0.137263782"	"0.000000018"	"1.18"	"  96                                             "	"L15916,L20010,L14162"
"3d4.(3P2).4s"	"b 4P"	"1/2"	" 0.137404372"	"0.000000018"	"2.60"	"  80         :    16  3d3.4s2               4P   "	"L15916,L20010,L14162"
"3d3.4s2"	"a 2H"	"9/2"	" 0.13763581"	"0.00000003"	"0.90"	"  86         :     5  3d4.(3H).4s           2H   "	"L15916,L20010,L14162"
"3d3.4s2"	"a 2H"	"11/2"	" 0.13910338"	"0.00000003"	"1.07"	"  81         :     6  3d4.(3H).4s           2H   "	"L15916,L20010,L14162"
"3d4.(3P2).4s"	"b 4P"	"3/2"	" 0.139155782"	"0.000000014"	"1.68"	"  80         :    15  3d3.4s2               4P   "	"L15916,L20010,L14162"
"3d4.(3P2).4s"	"b 4P"	"5/2"	" 0.141902824"	"0.000000018"	"1.54"	"  81         :    14  3d3.4s2               4P   "	"L15916,L20010,L14162"
"3d4.(3F2).4s"	"b 4F"	"3/2"	" 0.142748170"	"0.000000012"	"0.39"	"  96                                             "	"L15916,L20010,L14162"
"3d4.(3F2).4s"	"b 4F"	"5/2"	" 0.142967430"	"0.000000018"	"1.05"	"  95                                             "	"L15916,L20010,L14162"
"3d4.(3F2).4s"	"b 4F"	"7/2"	" 0.143289718"	"0.000000010"	"1.22"	"  95         :     1  3d4.(3G).4s           4G   "	"L15916,L20010,L14162"
"3d4.(3F2).4s"	"b 4F"	"9/2"	" 0.143714004"	"0.000000014"	"1.31"	"  94         :     1  3d4.(3G).4s           4G   "	"L15916,L20010,L14162"
"3d3.(4F).4s.4p.(3P*)"	"z 6G*"	"3/2"	" 0.14909686"	"0.00000004"	"0.00"	" 100                                             "	"L15916,L20010,L14162"
