Configuration	Term	J	Prefix	Level (Ry)	Suffix	Uncertainty (Ry)	Reference
"1s2.10i"	"2I"	"13/2"	"["	"9.79186"	"]"	""	"L7288"
"1s2.10k"	"2K*"	"13/2"	"["	"9.79186"	"]"	""	"L7288"
"1s2.10k"	"2K*"	"15/2"	"["	"9.79186"	"]"	""	"L7288"
"1s2.10p"	"2P*"	"1/2"	"["	"9.79541"	"]"	""	"L7288"
"1s2.10p"	"2P*"	"3/2"	"["	"9.79541"	"]"	""	"L7288"
"1s2.11d"	"2D"	"5/2"	""	"9.85491"	""	""	"L7288"
"1s2.12h"	"2H*"	"9/2"	"["	"9.90104"	"]"	""	"L7288"
"1s2.12h"	"2H*"	"11/2"	"["	"9.90104"	"]"	""	"L7288"
"1s2.12i"	"2I"	"11/2"	"["	"9.90104"	"]"	""	"L7288"
"1s2.12i"	"2I"	"13/2"	"["	"9.90104"	"]"	""	"L7288"
"1s2.12k"	"2K*"	"13/2"	"["	"9.90104"	"]"	""	"L7288"
"1s2.12k"	"2K*"	"15/2"	"["	"9.90104"	"]"	""	"L7288"
