R rho Te mu radheat radcool PdV advheat advcool
1.00143e+00 3.65357e-16 1.50680e+03 1.91126e+00 1.88660e-08 4.68240e-10 1.84113e-08 4.44402e-10 -0.00000e+00
1.00226e+00 3.64939e-16 1.50659e+03 1.91109e+00 1.88435e-08 4.67651e-10 1.83986e-08 4.43715e-10 -0.00000e+00
1.00310e+00 3.64520e-16 1.50638e+03 1.91092e+00 1.88209e-08 4.67061e-10 1.83858e-08 4.43066e-10 -0.00000e+00
1.00393e+00 3.64101e-16 1.50617e+03 1.91075e+00 1.87983e-08 4.66470e-10 1.83731e-08 4.42417e-10 -0.00000e+00
1.00477e+00 3.63682e-16 1.50596e+03 1.91058e+00 1.87757e-08 4.65879e-10 1.83603e-08 4.41767e-10 -0.00000e+00
1.00560e+00 3.63263e-16 1.50575e+03 1.91041e+00 1.87531e-08 4.65288e-10 1.83476e-08 4.41116e-10 -0.00000e+00
1.00644e+00 3.62843e-16 1.50555e+03 1.91024e+00 1.87305e-08 4.64696e-10 1.83348e-08 4.40464e-10 -0.00000e+00
1.00728e+00 3.62423e-16 1.50534e+03 1.91008e+00 1.87079e-08 4.64103e-10 1.83220e-08 4.39812e-10 -0.00000e+00
1.00812e+00 3.62002e-16 1.50513e+03 1.90991e+00 1.86852e-08 4.63510e-10 1.83092e-08 4.39159e-10 -0.00000e+00
1.00895e+00 3.61581e-16 1.50492e+03 1.90974e+00 1.86625e-08 4.62917e-10 1.82964e-08 4.14092e-10 -0.00000e+00
1.00979e+00 3.60840e-16 1.50454e+03 1.90935e+00 1.86211e-08 4.61837e-10 1.82837e-08 3.59313e-10 -0.00000e+00
1.01063e+00 3.59706e-16 1.50397e+03 1.90869e+00 1.85568e-08 4.60160e-10 1.82711e-08 3.29114e-10 -0.00000e+00
1.01147e+00 3.58571e-16 1.50339e+03 1.90804e+00 1.84925e-08 4.58482e-10 1.82585e-08 3.28787e-10 -0.00000e+00
1.01232e+00 3.57435e-16 1.50282e+03 1.90738e+00 1.84281e-08 4.56803e-10 1.82459e-08 3.28459e-10 -0.00000e+00
1.01316e+00 3.56298e-16 1.50224e+03 1.90673e+00 1.83637e-08 4.55122e-10 1.82333e-08 3.28131e-10 -0.00000e+00
1.01400e+00 3.55161e-16 1.50167e+03 1.90607e+00 1.82992e-08 4.53439e-10 1.82206e-08 3.27802e-10 -0.00000e+00
1.01484e+00 3.54022e-16 1.50109e+03 1.90541e+00 1.82346e-08 4.51756e-10 1.82080e-08 3.27472e-10 -0.00000e+00
1.01569e+00 3.52882e-16 1.50051e+03 1.90475e+00 1.81700e-08 4.50071e-10 1.81632e-08 3.27161e-10 -0.00000e+00
1.01653e+00 3.51742e-16 1.49994e+03 1.90409e+00 1.81053e-08 4.48384e-10 1.81119e-08 3.26852e-10 -0.00000e+00
1.01738e+00 3.50600e-16 1.49936e+03 1.90343e+00 1.80406e-08 4.46696e-10 1.80606e-08 3.26543e-10 -0.00000e+00
1.01823e+00 3.49458e-16 1.49878e+03 1.90277e+00 1.79758e-08 4.45007e-10 1.80086e-08 3.26234e-10 -0.00000e+00
1.01907e+00 3.48314e-16 1.49820e+03 1.90211e+00 1.79110e-08 4.43317e-10 1.79547e-08 3.25925e-10 -0.00000e+00
1.01992e+00 3.47170e-16 1.49762e+03 1.90145e+00 1.78461e-08 4.41624e-10 1.79007e-08 3.25615e-10 -0.00000e+00
1.02077e+00 3.46024e-16 1.49704e+03 1.90079e+00 1.77812e-08 4.39931e-10 1.78467e-08 3.25304e-10 -0.00000e+00
1.02162e+00 3.44878e-16 1.49646e+03 1.90013e+00 1.77162e-08 4.38236e-10 1.77927e-08 3.24993e-10 -0.00000e+00
1.02247e+00 3.43731e-16 1.49588e+03 1.89946e+00 1.76512e-08 4.36540e-10 1.77387e-08 4.14148e-10 -0.00000e+00
1.02332e+00 3.42652e-16 1.49528e+03 1.89882e+00 1.75901e-08 4.34939e-10 1.76842e-08 5.17832e-10 -0.00000e+00
1.02417e+00 3.41583e-16 1.49468e+03 1.89818e+00 1.75295e-08 4.33354e-10 1.76296e-08 5.32003e-10 -0.00000e+00
1.02502e+00 3.40513e-16 1.49408e+03 1.89753e+00 1.74690e-08 4.31767e-10 1.75750e-08 5.31475e-10 -0.00000e+00
