R rho Te mu radheat radcool PdV advheat advcool
1.03794e+00 1.54304e-14 4.32243e+03 1.26589e+00 2.86231e-07 1.08993e-08 2.76821e-07 4.03365e-09 -0.00000e+00
1.03880e+00 1.53436e-14 4.32218e+03 1.26577e+00 2.86266e-07 1.08329e-08 2.75915e-07 0.00000e+00 2.55978e-09
1.03967e+00 1.52568e-14 4.32193e+03 1.26565e+00 2.86302e-07 1.07664e-08 2.75008e-07 0.00000e+00 2.55600e-09
1.04053e+00 1.51700e-14 4.32168e+03 1.26553e+00 2.86338e-07 1.06999e-08 2.74100e-07 0.00000e+00 2.55221e-09
1.04140e+00 1.50830e-14 4.32143e+03 1.26541e+00 2.86374e-07 1.06333e-08 2.73191e-07 0.00000e+00 2.54842e-09
1.04226e+00 1.49960e-14 4.32118e+03 1.26529e+00 2.86410e-07 1.05667e-08 2.72282e-07 0.00000e+00 2.54462e-09
1.04313e+00 1.49089e-14 4.32093e+03 1.26517e+00 2.86446e-07 1.05000e-08 2.71371e-07 0.00000e+00 2.73970e-09
1.04400e+00 1.48203e-14 4.32068e+03 1.26505e+00 2.86360e-07 1.04372e-08 2.70462e-07 0.00000e+00 2.95773e-09
1.04487e+00 1.47315e-14 4.32043e+03 1.26492e+00 2.86259e-07 1.03748e-08 2.69551e-07 0.00000e+00 2.97672e-09
1.04574e+00 1.46425e-14 4.32018e+03 1.26479e+00 2.86158e-07 1.03124e-08 2.68647e-07 0.00000e+00 2.97229e-09
1.04661e+00 1.45535e-14 4.31993e+03 1.26467e+00 2.86057e-07 1.02499e-08 2.67790e-07 0.00000e+00 2.96802e-09
1.04748e+00 1.44644e-14 4.31968e+03 1.26454e+00 2.85956e-07 1.01873e-08 2.66932e-07 0.00000e+00 2.96374e-09
1.04835e+00 1.43753e-14 4.31943e+03 1.26441e+00 2.85855e-07 1.01247e-08 2.66074e-07 0.00000e+00 4.23920e-09
1.04922e+00 1.42913e-14 4.31935e+03 1.26429e+00 2.85799e-07 1.00692e-08 2.65231e-07 0.00000e+00 7.00040e-09
1.05009e+00 1.42133e-14 4.31946e+03 1.26416e+00 2.85798e-07 1.00218e-08 2.64405e-07 0.00000e+00 8.47771e-09
1.05097e+00 1.41352e-14 4.31957e+03 1.26403e+00 2.85796e-07 9.97443e-09 2.63578e-07 0.00000e+00 8.46545e-09
1.05184e+00 1.40571e-14 4.31967e+03 1.26391e+00 2.85795e-07 9.92702e-09 2.62749e-07 0.00000e+00 8.45317e-09
1.05272e+00 1.39789e-14 4.31978e+03 1.26378e+00 2.85793e-07 9.87956e-09 2.61920e-07 0.00000e+00 8.44088e-09
1.05359e+00 1.39007e-14 4.31989e+03 1.26366e+00 2.85792e-07 9.83206e-09 2.61090e-07 0.00000e+00 8.42858e-09
1.05447e+00 1.38224e-14 4.32000e+03 1.26353e+00 2.85790e-07 9.78452e-09 2.60260e-07 0.00000e+00 1.45197e-08
1.05534e+00 1.37445e-14 4.32087e+03 1.26340e+00 2.85671e-07 9.75728e-09 2.59475e-07 0.00000e+00 2.05999e-08
1.05622e+00 1.36666e-14 4.32174e+03 1.26326e+00 2.85553e-07 9.73003e-09 2.58689e-07 0.00000e+00 2.05729e-08
1.05710e+00 1.35887e-14 4.32260e+03 1.26313e+00 2.85434e-07 9.70275e-09 2.57902e-07 0.00000e+00 2.05428e-08
1.05798e+00 1.35106e-14 4.32347e+03 1.26300e+00 2.85315e-07 9.67546e-09 2.57114e-07 0.00000e+00 2.05127e-08
1.05886e+00 1.34326e-14 4.32434e+03 1.26286e+00 2.85195e-07 9.64813e-09 2.56324e-07 0.00000e+00 2.04825e-08
1.05974e+00 1.33544e-14 4.32522e+03 1.26273e+00 2.85076e-07 9.62079e-09 2.55534e-07 0.00000e+00 2.07693e-08
1.06062e+00 1.32754e-14 4.32612e+03 1.26259e+00 2.84899e-07 9.59290e-09 2.54744e-07 0.00000e+00 2.14501e-08
1.06151e+00 1.31953e-14 4.32705e+03 1.26245e+00 2.84651e-07 9.56435e-09 2.53968e-07 0.00000e+00 2.18133e-08
1.06239e+00 1.31152e-14 4.32799e+03 1.26231e+00 2.84402e-07 9.53576e-09 2.53227e-07 0.00000e+00 2.17825e-08
