R rho Te mu radheat radcool PdV advheat advcool
1.03833e+00 1.41169e-14 4.47225e+03 2.52591e+00 3.88009e-07 3.49102e-07 2.59372e-08 0.00000e+00 4.84100e-09
1.03920e+00 1.40080e-14 4.47451e+03 2.52512e+00 3.86883e-07 3.47039e-07 2.58874e-08 0.00000e+00 4.84334e-09
1.04006e+00 1.38990e-14 4.47677e+03 2.52434e+00 3.85757e-07 3.44974e-07 2.58377e-08 0.00000e+00 4.85921e-09
1.04093e+00 1.37899e-14 4.47904e+03 2.52355e+00 3.84629e-07 3.42908e-07 2.57880e-08 0.00000e+00 4.88280e-09
1.04179e+00 1.36775e-14 4.48136e+03 2.52236e+00 3.83419e-07 3.41446e-07 2.57384e-08 0.00000e+00 4.90722e-09
1.04266e+00 1.35626e-14 4.48372e+03 2.52087e+00 3.82146e-07 3.40431e-07 2.56888e-08 0.00000e+00 4.91429e-09
1.04353e+00 1.34477e-14 4.48608e+03 2.51938e+00 3.80873e-07 3.39415e-07 2.56389e-08 0.00000e+00 4.90426e-09
1.04440e+00 1.33327e-14 4.48845e+03 2.51788e+00 3.79598e-07 3.38398e-07 2.55889e-08 0.00000e+00 4.89081e-09
1.04527e+00 1.32183e-14 4.49084e+03 2.51646e+00 3.78259e-07 3.37192e-07 2.55386e-08 0.00000e+00 4.88007e-09
1.04614e+00 1.31051e-14 4.49331e+03 2.51519e+00 3.76797e-07 3.35624e-07 2.54881e-08 0.00000e+00 4.87881e-09
1.04701e+00 1.29918e-14 4.49577e+03 2.51391e+00 3.75335e-07 3.34055e-07 2.54374e-08 0.00000e+00 4.88362e-09
1.04788e+00 1.28785e-14 4.49824e+03 2.51263e+00 3.73871e-07 3.32484e-07 2.53866e-08 0.00000e+00 4.89002e-09
1.04875e+00 1.27672e-14 4.50069e+03 2.51136e+00 3.72452e-07 3.30971e-07 2.53355e-08 0.00000e+00 4.89442e-09
1.04962e+00 1.26711e-14 4.50298e+03 2.51010e+00 3.71352e-07 3.29867e-07 2.52843e-08 0.00000e+00 4.89368e-09
1.05050e+00 1.25749e-14 4.50528e+03 2.50885e+00 3.70252e-07 3.28762e-07 2.52329e-08 0.00000e+00 4.89012e-09
1.05137e+00 1.24786e-14 4.50757e+03 2.50759e+00 3.69151e-07 3.27656e-07 2.51812e-08 0.00000e+00 4.88593e-09
1.05224e+00 1.23822e-14 4.50987e+03 2.50633e+00 3.68048e-07 3.26549e-07 2.51293e-08 0.00000e+00 4.88283e-09
1.05312e+00 1.22854e-14 4.51209e+03 2.50487e+00 3.66880e-07 3.25554e-07 2.50771e-08 0.00000e+00 4.88232e-09
1.05400e+00 1.21885e-14 4.51430e+03 2.50336e+00 3.65700e-07 3.24576e-07 2.50248e-08 0.00000e+00 4.88282e-09
1.05487e+00 1.20915e-14 4.51651e+03 2.50185e+00 3.64519e-07 3.23598e-07 2.49724e-08 0.00000e+00 4.88296e-09
1.05575e+00 1.19944e-14 4.51873e+03 2.50034e+00 3.63337e-07 3.22619e-07 2.49198e-08 0.00000e+00 4.88209e-09
1.05663e+00 1.18959e-14 4.52097e+03 2.49883e+00 3.62038e-07 3.21498e-07 2.48670e-08 0.00000e+00 4.87965e-09
1.05751e+00 1.17957e-14 4.52326e+03 2.49730e+00 3.60608e-07 3.20216e-07 2.48141e-08 0.00000e+00 4.87704e-09
1.05839e+00 1.16954e-14 4.52555e+03 2.49578e+00 3.59176e-07 3.18933e-07 2.47611e-08 0.00000e+00 4.87532e-09
1.05927e+00 1.15950e-14 4.52784e+03 2.49425e+00 3.57743e-07 3.17648e-07 2.47080e-08 0.00000e+00 4.87567e-09
1.06015e+00 1.14941e-14 4.53014e+03 2.49272e+00 3.56278e-07 3.16327e-07 2.46549e-08 0.00000e+00 4.87713e-09
