,8.000,8.020,8.040,8.060,8.080,8.100,8.120,8.140,8.160,8.180,8.200,8.220,8.240,8.260,8.280,8.300,8.320,8.340,8.360,8.380,8.400,8.420,8.440,8.460,8.480,8.500,8.520,8.540,8.560,8.580,8.600,8.620,8.640,8.660,8.680,8.700,8.720,8.740,8.760,8.780,8.800,8.820,8.840,8.860,8.880,8.900,8.920,8.940,8.960,8.980,9.000,9.020,9.040,9.060,9.080,9.100,9.120,9.140,9.160,9.180,9.200,9.220,9.240,9.260,9.280,9.300,9.320,9.340,9.360,9.380,9.400,9.420,9.440,9.460,9.480,9.500,9.520,9.540,9.560,9.580,9.600,9.620,9.640,9.660,9.680,9.700,9.720,9.740,9.760,9.780,9.800,9.820,9.840,9.860,9.880,9.900,9.920,9.940,9.960,9.980,10.000,10.020,10.040,10.060,10.080,10.100,10.120,10.140,10.160,10.180,10.200,10.220,10.240,10.260,10.280,10.300,10.320,10.340,10.360,10.380,10.400,10.420,10.440,10.460,10.480,10.500,10.520,10.540,10.560,10.580,10.600,10.620,10.640,10.660,10.680,10.700,10.720,10.740,10.760,10.780,10.800,10.820,10.840,10.860,10.880,10.900,10.920,10.940,10.960,10.980,11.000,11.020,11.040,11.060,11.080,11.100,11.120,11.140,11.160,11.180,11.200,11.220,11.240,11.260,11.280,11.300,11.320,11.340,11.360,11.380,11.400,11.420,11.440,11.460,11.480,11.500,11.520,11.540,11.560,11.580,11.600,11.620,11.640,11.660,11.680,11.700,11.720,11.740,11.760,11.780,11.800,11.820,11.840,11.860,11.880,11.900,11.920,11.940,11.960,11.980,12.000
2900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3000,,,,,,,,,,,,,,,,,,,,,,,,,,209.826137674012,,,,,178.79975516356936,,,,,147.97154718570198,,,,,119.12282687319583,,,,,99.50034614702207,,,,,93.95144832401274,,,,,112.73379753320171,,,,,168.73662549302787,,,,,271.2197840211002,,,,,427.3373871616478,,,,,620.9134357775631,,,,,,,,,,1311.4952402647955,,,,,1720.2919158211864,,,,,2172.8370189514335,,,,,2811.553200093517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3100,,,,,,,,,,,,,,,,,,,,,,,,,,225.2322183180776,,,,,195.16175618900402,,,,,161.317700850014,,,,,129.76309967623678,,,,,105.94607718401252,,,,,94.44214017229794,,,,,102.40495868038269,,,,,143.25764564035458,,,,,232.1628285856631,,,,,367.2964952759835,,,,,,,,,,887.6787095532212,,,,,1086.791860159332,,,,,1489.6096514862093,,,,,2162.4230178880966,,,,,2692.0267278205824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3200,,,,,,,,,,,,,,,,,,,,,,,,,,237.81186614964318,,,,,209.64105356647653,,,,,174.12783455070453,,,,,141.61709510822362,,,,,114.28448030182066,,,,,96.64706566978748,,,,,96.22335554826427,,,,,128.978523273033,,,,,199.04996516422366,,,,,330.6624128499308,,,,,509.8894692827101,,,,,802.7274976861303,,,,,994.9536282138516,,,,,1398.0032512986995,,,,,2090.780689111374,,,,,2588.5682665279023,,,,,3372.7509857239215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3300,,,,,,,,,,,,,,,,,,,,,,,,,,251.14769720522688,,,,,222.04391108133848,,,,,186.695867688856,,,,,152.32215666271887,,,,,120.94904561826752,,,,,100.0958400764475,,,,,94.65268620760341,,,,,118.62075445177919,,,,,180.8615427894321,,,,,302.6100322550149,,,,,483.7990133602052,,,,,747.5105201509832,,,,,1004.6175736511636,,,,,1539.1989476014762,,,,,2029.6526231606172,,,,,,,,,,3134.907908275236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3400,,,,,,,,,,,,,,,,,,,,,,,,,,263.09405951368717,,,,,234.0507186936483,,,,,194.65560436710743,,,,,165.04234804408296,,,,,128.7498601042997,,,,,104.40453151482497,,,,,94.6699174333544,,,,,110.46908355403531,,,,,166.89728811140478,,,,,271.7673931087723,,,,,386.18050623670274,,,,,694.6121340204809,,,,,915.1490790940519,,,,,1468.85179075404,,,,,2004.7643915841015,,,,,2622.069678535777,,,,,3297.390541677495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3500,,,,,,,,,,,,,,,,,,,,,,,,,,274.73821398168224,,,,,241.74945629398783,,,,,210.67014284323582,,,,,176.08877745606438,,,,,136.83700010751178,,,,,109.27638377506281,,,,,95.49440596175413,,,,,103.56970647625194,,,,,149.8861305450756,,,,,250.2206935537917,,,,,411.8760927651026,,,,,633.2392836106606,,,,,983.876919900746,,,,,1451.9276339150547,,,,,1788.2844007470785,,,,,2528.104605631466,,,,,,,,,,,,,,,,,,,,6116.227807175296,,,,,7451.1663399554645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3600,,,,,,,,,,,,,,,,,,,,,,,,,,285.2148981231581,,,,,254.50040744027845,,,,,221.9015201074505,,,,,184.538734237465,,,,,144.9622834318609,,,,,115.44753696543324,,,,,97.12778299697098,,,,,98.53173844550653,,,,,139.68000104887477,,,,,231.4087502637923,,,,,388.0986526296382,,,,,531.4139032233735,,,,,944.5798997303261,,,,,1385.7204578980943,,,,,1737.408669191003,,,,,2518.5932717991423,,,,,3244.3475334859477,,,,,,,,,,4911.710363800501,,,,,,,,,,7297.424184670168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3700,,,,,,,,,,,,,,,,,,,,,,,,,,292.51609043941914,,,,,264.1574288727821,,,,,231.16003407837044,,,,,195.3180793708058,,,,,156.2609054895328,,,,,119.33017731186612,,,,,98.70241253054765,,,,,95.83614348935141,,,,,130.6163544661,,,,,214.67343946528746,,,,,365.12216217776245,,,,,581.3221122187607,,,,,808.2045856630588,,,,,1310.2533945832563,,,,,1666.200466659142,,,,,2533.4708104815395,,,,,3211.7179020802155,,,,,4150.11523571942,,,,,4512.6060177858635,,,,,5565.338951558046,,,,,7118.053563059125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3800,,,,,,,,,,,,,,,,,,,,,,,,,,298.59333328462685,,,,,270.2217889628516,,,,,237.944045718659,,,,,200.7187039293162,,,,,161.97125745054942,,,,,128.79989379851636,,,,,101.31150924517524,,,,,94.2340849661398,,,,,122.64387129108752,,,,,199.82380572598169,,,,,332.9976055303029,,,,,509.9093604844571,,,,,759.4727024681383,,,,,1294.4888503689378,,,,,1595.7462798755807,,,,,2538.0708054425636,,,,,3232.2018556546923,,,,,3921.776440071497,,,,,5140.697434902105,,,,,5679.739369043383,,,,,6842.8293867626535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
