R rho Te mu radheat radcool PdV advheat advcool
1.00615e+00 6.18595e-16 6.21850e+03 9.41947e-01 3.40860e-08 5.05190e-09 3.56209e-08 8.06650e-09 -0.00000e+00
1.00699e+00 6.15609e-16 6.21068e+03 9.41545e-01 3.39046e-08 5.01689e-09 3.56456e-08 7.99926e-09 -0.00000e+00
1.00782e+00 6.12620e-16 6.20285e+03 9.41143e-01 3.37231e-08 4.98185e-09 3.56574e-08 7.94676e-09 -0.00000e+00
1.00866e+00 6.09628e-16 6.19501e+03 9.40740e-01 3.35415e-08 4.94677e-09 3.56564e-08 7.90913e-09 -0.00000e+00
1.00950e+00 6.06634e-16 6.18717e+03 9.40337e-01 3.33597e-08 4.91167e-09 3.56425e-08 7.88631e-09 -0.00000e+00
1.01033e+00 6.03637e-16 6.17932e+03 9.39934e-01 3.31777e-08 4.87655e-09 3.56159e-08 7.87815e-09 -0.00000e+00
1.01117e+00 6.00638e-16 6.17146e+03 9.39531e-01 3.29956e-08 4.84139e-09 3.55768e-08 7.88438e-09 -0.00000e+00
1.01201e+00 5.97636e-16 6.16360e+03 9.39127e-01 3.28133e-08 4.80620e-09 3.55254e-08 7.90457e-09 -0.00000e+00
1.01285e+00 5.94632e-16 6.15573e+03 9.38723e-01 3.26309e-08 4.77098e-09 3.54620e-08 7.93821e-09 -0.00000e+00
1.01369e+00 5.91626e-16 6.14785e+03 9.38318e-01 3.24483e-08 4.73574e-09 3.53871e-08 7.98467e-09 -0.00000e+00
1.01453e+00 5.88617e-16 6.13997e+03 9.37913e-01 3.22656e-08 4.70046e-09 3.53011e-08 8.04321e-09 -0.00000e+00
1.01538e+00 5.85605e-16 6.13208e+03 9.37508e-01 3.20828e-08 4.66516e-09 3.52044e-08 8.11301e-09 -0.00000e+00
1.01622e+00 5.82591e-16 6.12418e+03 9.37103e-01 3.18997e-08 4.62982e-09 3.50976e-08 8.19316e-09 -0.00000e+00
1.01706e+00 5.79575e-16 6.11628e+03 9.36697e-01 3.17166e-08 4.59446e-09 3.49768e-08 8.31013e-09 -0.00000e+00
1.01791e+00 5.76555e-16 6.10837e+03 9.36291e-01 3.15332e-08 4.55907e-09 3.48460e-08 8.43302e-09 -0.00000e+00
1.01875e+00 5.73534e-16 6.10046e+03 9.35884e-01 3.13498e-08 4.52365e-09 3.47063e-08 8.55810e-09 -0.00000e+00
